rank,prev_rank,name,league,off,def,spi
611,613,Henan Jianye,Chinese Super League,0.46,2.36,10.34
612,607,Doncaster Rovers,English League Two,0.45,2.36,10.18
613,620,Colchester United,English League Two,0.35,2.12,10.11
614,614,Cambridge United,English League One,0.37,2.18,10.06
615,615,Charleston Battery,United Soccer League,0.58,2.65,10.05
616,611,Moroka Swallows,South African ABSA Premier League,0.24,1.88,10.05
617,616,Dalian Aerbin,Chinese Super League,0.51,2.51,9.96
618,617,Guangzhou RF,Chinese Super League,0.66,2.86,9.74
619,619,Indy Eleven,United Soccer League,0.43,2.38,9.67
620,621,Forest Green Rovers,English League One,0.37,2.26,9.52
621,622,Wuhan Zall,Chinese Super League,0.39,2.32,9.4
622,623,Helsingborgs IF,Swedish Allsvenskan,0.35,2.23,9.3
623,625,Sutton United,English League Two,0.3,2.12,9.27
624,626,Maritzburg Utd,South African ABSA Premier League,0.2,1.89,9.02
625,618,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,0.2,1.9,8.96
626,627,Las Vegas Lights FC,United Soccer League,0.34,2.28,8.73
627,635,Crawley Town,English League Two,0.42,2.49,8.7
628,624,Barrow,English League Two,0.25,2.13,8.31
629,629,GIF Sundsvall,Swedish Allsvenskan,0.52,2.81,8.15
630,630,Newport County,English League Two,0.22,2.07,8.02
631,632,Tianjin Quanujian,Chinese Super League,0.37,2.51,7.83
632,628,Harrogate Town,English League Two,0.39,2.57,7.76
633,633,Shenzhen FC,Chinese Super League,0.4,2.6,7.73
634,634,Chongqing Lifan,Chinese Super League,0.3,2.35,7.66
635,631,Gillingham,English League Two,0.2,2.1,7.55
636,636,Crewe Alexandra,English League Two,0.2,2.1,7.52
637,637,Grimsby Town,English League Two,0.25,2.34,6.92
638,638,Atlanta United 2,United Soccer League,0.48,3.01,6.47
639,639,Rochdale,English League Two,0.2,2.35,6.05
640,640,Loudoun United FC,United Soccer League,0.33,2.75,5.86
641,641,Guizhou Renhe,Chinese Super League,0.2,2.61,4.86
642,642,Hartlepool,English League Two,0.2,2.67,4.6
643,643,New York Red Bulls II,United Soccer League,0.2,2.82,4.03
