Pos,ID,Name,BV,SV,Team,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,4_goals,5_goals,6_goals,7_goals,8_goals,9_goals,10_goals,11_goals,12_goals,13_goals,14_goals,15_goals,4_assists,5_assists,6_assists,7_assists,8_assists,9_assists,10_assists,11_assists,12_assists,13_assists,14_assists,15_assists,4_CS,5_CS,6_CS,7_CS,8_CS,9_CS,10_CS,11_CS,12_CS,13_CS,14_CS,15_CS,4_bonus,5_bonus,6_bonus,7_bonus,8_bonus,9_bonus,10_bonus,11_bonus,12_bonus,13_bonus,14_bonus,15_bonus,4_cbit,5_cbit,6_cbit,7_cbit,8_cbit,9_cbit,10_cbit,11_cbit,12_cbit,13_cbit,14_cbit,15_cbit,4_eo,5_eo,6_eo,7_eo,8_eo,9_eo,10_eo,11_eo,12_eo,13_eo,14_eo,15_eo
M,126,Jensen,4.9,4.9,Brentford,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,1.70,1.73,1.82,1.64,1.92,1.74,1.75,1.90,1.71,2.03,1.52,1.78,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.02,0.03,0.08,0.08,0.09,0.07,0.09,0.07,0.08,0.09,0.07,0.12,0.05,0.08,0.06,0.07,0.08,0.05,0.09,0.05,0.08,0.07,0.06,0.14,0.04,0.05,0.05,0.07,0.06,0.06,0.12,0.06,0.09,0.08,0.07,0.14,0.03,0.07,4,4,6,2,7,7,4,10,5,2,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,127,Nunes,4.9,4.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,128,Onyeka,5.0,5.0,Brentford,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.35,0.36,0.38,0.35,0.37,0.36,0.35,0.38,0.35,0.40,0.32,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0,0,1,0,1,1,0,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,129,Yarmoliuk,5.0,5.0,Brentford,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,2.87,2.92,3.09,2.74,3.32,3.08,2.99,3.26,2.78,3.32,2.53,3.02,0.06,0.06,0.07,0.05,0.07,0.05,0.06,0.06,0.05,0.09,0.04,0.06,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.11,0.04,0.07,0.17,0.20,0.24,0.14,0.26,0.13,0.23,0.21,0.17,0.40,0.12,0.16,0.07,0.09,0.10,0.07,0.13,0.07,0.08,0.09,0.07,0.13,0.05,0.07,26,26,29,24,38,42,29,42,25,21,23,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,130,Donovan,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,131,Konak,4.4,4.4,Brentford,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,132,Maghoma,4.5,4.5,Brentford,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.09,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,133,Peart-Harris,4.5,4.5,Brentford,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,134,Trevitt,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,135,Wissa,7.5,7.5,Newcastle,0.00,38.10,52.05,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,0.00,2.14,2.63,4.29,3.66,4.18,4.07,3.91,3.62,3.66,4.28,4.94,0.00,0.18,0.21,0.41,0.31,0.39,0.37,0.36,0.31,0.31,0.41,0.51,0.00,0.07,0.08,0.16,0.12,0.16,0.15,0.14,0.12,0.12,0.16,0.20,0.00,0.10,0.13,0.26,0.16,0.26,0.24,0.21,0.15,0.21,0.21,0.35,0.00,0.32,0.35,0.67,0.54,0.67,0.63,0.55,0.50,0.57,0.67,0.80,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,136,Thiago,6.0,6.0,Brentford,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,3.87,4.14,4.39,3.86,4.28,3.86,3.95,4.19,3.95,5.11,3.26,4.02,0.30,0.34,0.37,0.30,0.35,0.30,0.30,0.34,0.30,0.48,0.20,0.31,0.12,0.13,0.15,0.12,0.14,0.11,0.12,0.14,0.12,0.19,0.08,0.12,0.16,0.19,0.23,0.14,0.26,0.13,0.22,0.20,0.16,0.41,0.11,0.15,0.47,0.60,0.66,0.47,0.65,0.49,0.56,0.57,0.56,0.80,0.38,0.59,0,0,0,0,0,0,0,1,0,0,0,0,0.10,0.14,0.18,0.18,0.23,0.23,0.24,0.25,0.26,0.40,0.16,0.34
F,137,Morgan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,138,Steele,4.4,4.4,Brighton,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.80,3.01,2.46,3.11,3.08,2.64,3.54,3.02,3.56,3.01,3.17,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.24,0.14,0.29,0.23,0.20,0.36,0.25,0.33,0.24,0.27,0.36,0.12,0.12,0.09,0.14,0.12,0.12,0.14,0.16,0.21,0.12,0.19,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.03,0.03,0.04,0.06,0.03,0.07,0.05,0.05,0.08
G,140,McGill,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,141,Rushworth,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,142,Scherpen,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.4,4.4,Brighton,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,0.85,0.91,0.75,0.99,0.87,0.84,1.02,0.89,0.99,0.87,0.94,1.06,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.04,0.05,0.03,0.06,0.05,0.04,0.07,0.05,0.07,0.05,0.06,0.08,0.03,0.03,0.02,0.05,0.03,0.03,0.05,0.04,0.06,0.04,0.05,0.07,4,4,5,5,3,4,2,3,1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,144,Coppola,4.4,4.4,Brighton,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,0.53,0.57,0.48,0.60,0.54,0.51,0.62,0.54,0.61,0.54,0.58,0.63,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.01,0.03,0.01,0.01,0.03,0.02,0.04,0.02,0.03,0.03,2,2,2,2,2,2,1,1,1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,145,De Cuyper,4.5,4.5,Brighton,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,2.79,3.12,2.29,3.34,2.93,2.63,3.71,2.95,3.52,2.92,3.25,3.73,0.04,0.05,0.03,0.04,0.04,0.03,0.05,0.03,0.05,0.04,0.04,0.05,0.10,0.13,0.09,0.11,0.11,0.09,0.13,0.10,0.13,0.10,0.12,0.14,0.20,0.24,0.15,0.28,0.23,0.20,0.34,0.25,0.32,0.24,0.26,0.35,0.15,0.13,0.09,0.20,0.13,0.10,0.22,0.12,0.19,0.10,0.21,0.22,8,7,9,7,6,6,4,4,3,4,6,1,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.03
D,146,Dunk,4.5,4.5,Brighton,75.90,75.90,75.90,75.90,75.90,75.90,75.90,75.90,75.90,75.90,75.90,75.90,2.48,2.71,2.17,3.07,2.60,2.42,3.28,2.71,3.17,2.59,2.84,3.40,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.06,0.03,0.04,0.02,0.04,0.04,0.03,0.05,0.03,0.05,0.03,0.04,0.05,0.18,0.21,0.13,0.26,0.20,0.18,0.31,0.22,0.29,0.22,0.24,0.32,0.11,0.12,0.08,0.17,0.11,0.12,0.20,0.16,0.25,0.12,0.17,0.20,10,7,16,12,6,9,3,7,1,3,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,147,Estupiñan,4.5,4.5,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,148,F.Kadıoğlu,4.4,4.4,Brighton,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,24.15,0.94,1.05,0.83,1.07,0.99,0.92,1.17,0.98,1.15,0.98,1.05,1.18,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.03,0.05,0.03,0.04,0.05,0.05,0.06,0.04,0.07,0.06,0.05,0.08,0.06,0.08,0.06,0.06,0.08,0.02,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.04,0.02,0.03,0.04,1,1,1,1,1,1,1,1,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,149,Igor,4.5,4.5,West Ham,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,0.00,1.67,1.92,1.74,1.48,1.92,1.80,1.65,2.21,1.86,1.67,1.48,0.00,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.00,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.10,0.13,0.11,0.05,0.14,0.12,0.10,0.20,0.08,0.06,0.08,0.00,0.03,0.07,0.06,0.02,0.11,0.07,0.06,0.17,0.04,0.02,0.04,0.00,14,16,16,26,10,14,14,4,30,31,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,150,Lamptey,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.5,4.5,Brighton,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,2.99,3.29,2.66,3.69,3.14,2.95,3.97,3.33,3.64,3.11,3.39,3.96,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.05,0.07,0.04,0.05,0.06,0.05,0.07,0.05,0.07,0.05,0.06,0.07,0.20,0.24,0.15,0.30,0.24,0.20,0.36,0.26,0.33,0.25,0.27,0.37,0.16,0.20,0.10,0.26,0.19,0.16,0.37,0.26,0.29,0.23,0.20,0.29,20,16,30,23,15,19,9,16,5,9,13,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,152,Veltman,4.4,4.4,Brighton,62.85,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,2.38,0.99,0.78,1.01,0.95,0.89,1.11,0.95,1.09,0.95,1.02,1.13,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.05,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.15,0.05,0.03,0.06,0.05,0.04,0.08,0.05,0.07,0.05,0.06,0.08,0.12,0.06,0.03,0.07,0.06,0.07,0.09,0.08,0.10,0.07,0.08,0.12,16,3,4,2,3,2,2,2,2,2,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,154,Cashin,4.0,4.0,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,155,Slater,4.0,4.0,Brighton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,4.0,4.0,Brighton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,157,Mitoma,6.4,6.4,Brighton,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,3.92,4.54,3.52,4.24,4.17,3.92,4.70,3.92,4.73,3.95,4.33,4.83,0.20,0.26,0.16,0.22,0.22,0.19,0.27,0.19,0.27,0.20,0.23,0.28,0.18,0.24,0.15,0.20,0.20,0.18,0.25,0.18,0.25,0.18,0.21,0.25,0.22,0.25,0.16,0.30,0.25,0.21,0.36,0.27,0.34,0.26,0.28,0.37,0.31,0.41,0.23,0.44,0.35,0.37,0.44,0.32,0.48,0.31,0.45,0.51,2,3,3,1,5,2,1,2,1,2,2,0,0.03,0.05,0.04,0.05,0.06,0.06,0.09,0.12,0.14,0.14,0.16,0.15
M,158,Georginio,5.9,5.9,Brighton,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,3.62,4.13,3.21,3.87,3.69,3.45,4.22,3.53,4.21,3.64,3.81,4.33,0.20,0.25,0.15,0.21,0.21,0.18,0.25,0.18,0.25,0.19,0.21,0.26,0.17,0.22,0.14,0.18,0.18,0.16,0.22,0.16,0.22,0.17,0.19,0.23,0.20,0.24,0.15,0.28,0.23,0.20,0.33,0.25,0.31,0.24,0.26,0.34,0.24,0.29,0.15,0.29,0.19,0.17,0.28,0.23,0.29,0.25,0.21,0.33,1,3,3,4,2,2,1,1,1,1,2,1,0.07,0.08,0.04,0.05,0.05,0.04,0.05,0.03,0.04,0.03,0.03,0.04
M,159,March,5.8,5.8,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,160,Minteh,5.9,5.9,Brighton,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,74.10,3.66,4.15,3.27,3.90,3.89,3.57,4.34,3.63,4.39,3.69,3.93,4.39,0.19,0.24,0.16,0.20,0.20,0.18,0.25,0.18,0.25,0.19,0.21,0.26,0.18,0.23,0.15,0.19,0.19,0.17,0.24,0.17,0.24,0.18,0.20,0.24,0.22,0.25,0.16,0.30,0.25,0.21,0.36,0.27,0.33,0.26,0.28,0.37,0.25,0.25,0.15,0.32,0.26,0.23,0.33,0.25,0.36,0.23,0.24,0.34,4,4,4,3,8,4,2,3,4,3,4,0,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04
