Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
D,610,Wan-Bissaka,4.1,4.1,West Ham,21.30,21.30,21.30,0.73,0.77,0.85
M,613,Souček,5.7,5.7,West Ham,78.45,78.45,78.45,2.90,3.39,3.34
M,614,Ward-Prowse,5.6,5.6,Burnley,66.60,66.60,66.60,3.07,2.50,3.41
M,615,Summerville,5.4,5.4,West Ham,80.55,80.55,80.55,3.30,4.03,4.03
M,623,Potts,4.3,4.3,West Ham,12.60,12.60,12.60,0.45,0.47,0.48
F,624,Bowen,7.7,7.7,West Ham,87.60,87.60,87.60,3.63,4.40,4.47
G,627,Johnstone,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
G,628,José Sá,4.2,4.2,Wolves,0.00,72.00,72.00,0.00,2.15,2.63
G,629,Bentley,3.9,3.9,Wolves,89.10,18.00,18.00,2.20,0.53,0.62
G,630,King,3.9,3.9,Everton,0.00,0.00,0.00,0.00,0.00,0.00
D,632,Doherty,4.4,4.4,Wolves,12.45,12.45,12.45,0.42,0.52,0.57
D,633,H.Bueno,4.3,4.3,Wolves,79.20,79.20,79.20,1.91,2.83,3.38
D,634,Mosquera,4.3,4.3,Wolves,81.00,81.00,81.00,2.01,2.68,3.29
D,635,R.Gomes,4.4,4.4,Wolves,32.85,32.85,32.85,1.01,1.44,1.65
D,636,S.Bueno,4.4,4.4,Wolves,83.85,83.85,83.85,2.24,3.17,3.74
D,637,Toti,4.2,4.2,Wolves,30.75,30.75,30.75,0.93,1.12,1.29
D,640,Pedro Lima,4.0,4.0,Wolves,58.80,58.80,58.80,1.57,2.29,2.71
M,642,Hee Chan,5.6,5.6,Wolves,18.30,18.30,18.30,0.83,0.99,1.00
M,643,André,5.2,5.2,Wolves,78.45,78.45,78.45,2.75,2.88,3.23
M,644,Bellegarde,5.1,5.1,Wolves,51.45,51.45,51.45,1.83,2.16,2.25
M,646,J.Gomes,5.3,5.3,Wolves,78.45,78.45,78.45,2.91,3.18,3.48
M,651,Edozie,4.3,4.3,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
M,652,Gonzalez,4.3,4.3,Wolves,0.60,0.60,0.60,0.02,0.03,0.03
F,654,Strand Larsen,5.9,5.9,Crystal Palace,112.20,56.10,56.10,4.96,2.59,2.25
F,657,Chiwome,4.4,4.4,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
F,658,Fraser,4.2,4.2,Wolves,0.30,0.30,0.30,0.01,0.02,0.02
D,659,Walker-Peters,4.2,4.2,West Ham,77.70,77.70,77.70,2.57,2.83,3.68
M,660,Stach,4.8,4.8,Leeds United,80.70,80.70,80.70,3.92,3.98,3.93
F,661,Ekitiké,9.0,9.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
D,662,Mosquera,5.3,5.3,Arsenal,27.00,27.00,27.00,1.15,1.32,1.28
G,664,Lecomte,3.9,3.9,Fulham,0.90,0.90,0.90,0.03,0.03,0.03
G,665,Perri,4.4,4.4,Leeds United,0.90,0.90,0.90,0.03,0.03,0.04
F,666,Gyökeres,8.9,8.9,Arsenal,74.40,67.80,67.80,4.20,5.22,3.65
D,667,Aznou,4.2,4.2,Everton,0.30,0.30,0.30,0.01,0.01,0.01
M,668,Xhaka,5.1,5.1,Sunderland,79.80,79.80,79.80,3.30,3.24,3.15
M,669,Ndoye,5.5,5.5,Nott'm Forest,0.00,21.45,21.45,0.00,0.91,1.01
G,670,Roefs,4.8,4.8,Sunderland,89.10,89.10,89.10,3.16,2.84,3.16
F,671,Wilson,5.8,5.8,West Ham,23.85,23.85,23.85,1.12,1.35,1.29
D,672,Hato,4.6,4.6,Chelsea,36.90,36.90,36.90,1.20,1.69,1.72
M,673,J.Palhinha,5.5,5.5,Spurs,30.75,30.75,30.75,1.24,1.16,1.28
G,674,Ramsdale,4.8,4.8,Newcastle,9.00,9.00,9.00,0.29,0.29,0.28
G,675,Gunn,4.0,4.0,Nott'm Forest,0.00,0.00,0.00,0.00,0.00,0.00
M,676,Ugochukwu,5.0,5.0,Burnley,50.70,50.70,50.70,1.73,1.51,1.96
M,677,Guessand,6.2,6.2,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00
G,679,Hermansen,4.2,4.2,West Ham,89.10,89.10,89.10,2.73,3.05,3.46
F,680,Broja,5.2,5.2,Burnley,15.30,15.30,15.30,0.73,0.61,0.81
F,681,Šeško,7.3,7.3,Man Utd,55.05,55.05,55.05,2.92,3.23,2.63
D,682,Møller Wolfe,4.2,4.2,Wolves,5.10,5.10,5.10,0.18,0.21,0.22
D,683,Alderete,4.1,4.1,Sunderland,83.85,83.85,83.85,3.41,3.64,3.30
D,684,Thiaw,4.9,4.9,Newcastle,84.75,84.75,84.75,3.59,3.59,3.54
D,685,Diakité,4.1,4.1,Bournemouth,13.95,7.35,7.35,0.56,0.26,0.29
M,686,Ngumoha,4.3,4.3,Liverpool,51.30,29.25,29.25,2.96,1.64,1.72
M,687,Rees-Dottin,4.3,4.3,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00
G,688,Wright,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
M,689,Seung soo,4.3,4.3,Newcastle,0.30,0.30,0.30,0.02,0.02,0.02
M,690,Cardines,4.4,4.4,Crystal Palace,2.40,1.20,1.20,0.09,0.04,0.04
F,691,Calvert-Lewin,5.8,5.8,Leeds United,81.90,81.90,81.90,3.71,4.13,3.91
D,692,Leoni,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
M,693,Hutchinson,5.4,5.4,Nott'm Forest,66.60,66.60,66.60,3.29,2.76,3.17
D,694,Mukiele,4.6,4.6,Sunderland,82.95,82.95,82.95,3.09,3.27,2.97
D,695,Tchatchoua,4.4,4.4,Wolves,16.35,16.35,16.35,0.50,0.62,0.68
M,697,Adli,5.4,5.4,Bournemouth,21.15,21.15,21.15,1.17,1.01,1.07
M,698,Okafor,5.6,5.6,Leeds United,0.00,0.00,62.10,0.00,0.00,3.01
M,699,Douglas Luiz,4.9,4.9,Aston Villa,18.00,18.00,18.00,0.88,0.78,0.70
M,700,Dowman,4.2,4.2,Arsenal,8.10,8.10,8.10,0.44,0.53,0.42
M,702,Burrowes,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.05,0.04,0.04
G,703,Proctor,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00
D,706,Justin,4.0,4.0,Leeds United,86.10,80.25,80.25,3.44,3.26,3.45
M,707,Dibling,5.3,5.3,Everton,12.45,12.45,12.45,0.59,0.66,0.55
M,708,M.Fernandes,5.5,5.5,West Ham,83.25,83.25,83.25,3.12,3.65,3.43
D,709,Krejčí,4.5,4.5,Wolves,69.45,69.45,69.45,1.92,2.69,3.18
D,710,Patterson,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.01,0.01,0.01
M,711,Harriman-Annous,4.4,4.4,Arsenal,0.30,0.30,0.30,0.02,0.02,0.02
M,712,Yeremy,5.8,5.8,Crystal Palace,111.60,52.65,52.65,5.02,2.38,2.16
