Pos,ID,Name,BV,SV,Team,20_xMins,21_xMins,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,20_Pts,21_Pts,22_Pts,23_Pts,24_Pts,25_Pts,26_Pts,27_Pts,28_Pts,29_Pts
D,114,Arthur,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,116,Hickey,4.0,4.0,Brentford,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,28.20,1.15,1.32,0.87,1.20,0.99,0.97,0.88,1.14,1.33,1.06
M,119,Mbeumo,8.1,8.1,Man Utd,0.00,0.00,0.00,85.35,85.35,85.35,85.35,85.35,85.35,85.35,0.00,0.00,0.00,3.39,5.04,4.96,5.00,4.41,4.87,4.23
M,120,Schade,7.1,7.1,Brentford,82.95,82.95,82.95,83.55,83.55,83.55,83.55,83.55,83.55,83.55,3.98,4.85,3.62,4.20,3.64,3.57,3.12,4.18,4.36,3.89
M,121,Damsgaard,5.8,5.8,Brentford,43.80,43.80,43.80,43.80,43.80,43.80,43.80,43.80,43.80,43.80,2.02,2.33,1.88,2.19,1.95,1.92,1.73,2.16,2.23,2.06
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,2.77,2.90,2.60,2.91,2.73,2.65,2.41,2.83,2.93,2.72
M,125,Janelt,4.9,4.9,Brentford,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,1.86,1.88,1.79,1.91,1.85,1.81,1.63,1.89,1.89,1.85
M,126,Jensen,4.9,4.9,Brentford,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,1.78,1.97,1.67,1.89,1.71,1.69,1.55,1.85,1.88,1.79
M,127,Nunes,4.9,4.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,128,Onyeka,4.8,4.8,Brentford,0.00,0.00,0.00,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0.00,0.00,0.00,0.40,0.38,0.38,0.35,0.40,0.41,0.39
M,129,Yarmoliuk,5.0,5.0,Brentford,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,3.04,3.03,2.90,3.17,3.07,2.91,2.57,3.07,3.07,2.97
M,130,Donovan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,131,Konak,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,132,Maghoma,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,133,Peart-Harris,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,135,Wissa,7.3,7.3,Newcastle,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,2.09,2.06,2.12,1.99,1.73,2.09,1.88,1.66,2.02,2.14
F,136,Thiago,6.9,6.9,Brentford,78.75,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,3.69,4.60,3.51,4.22,3.65,3.65,3.23,4.28,4.43,4.02
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.02,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.03
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.76,1.62,2.91,2.85,3.40,3.55,2.44,3.21,3.32,2.34
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,0.24,0.17,0.22,0.20,0.23,0.22,0.19,0.22,0.21,0.18
D,144,Coppola,4.2,4.2,Brighton,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,0.14,0.10,0.13,0.12,0.14,0.13,0.11,0.13,0.12,0.11
D,145,De Cuyper,4.3,4.3,Brighton,64.35,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,3.85,0.81,1.23,1.06,1.22,1.17,0.99,1.09,1.18,0.88
D,146,Dunk,4.5,4.5,Brighton,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,4.25,1.84,3.44,3.12,3.98,3.65,2.77,3.37,3.55,2.38
D,148,F.Kadıoğlu,4.4,4.4,Brighton,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,4.07,1.66,3.13,2.91,3.64,3.41,2.57,3.04,3.34,2.16
D,149,Igor,4.5,4.5,West Ham,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,0.42,0.41,0.39,0.43,0.35,0.45,0.41,0.42,0.37,0.40
D,151,Van Hecke,4.5,4.5,Brighton,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,4.60,2.09,3.75,3.41,4.24,3.99,3.05,3.72,3.72,2.72
D,152,Veltman,4.3,4.3,Brighton,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,16.80,0.82,0.54,0.74,0.68,0.77,0.75,0.65,0.74,0.72,0.61
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,157,Mitoma,6.1,6.1,Brighton,59.40,59.40,59.40,59.40,59.40,59.40,59.40,59.40,59.40,59.40,3.39,2.31,3.07,2.70,2.94,2.88,2.61,2.77,3.02,2.31
M,158,Georginio,5.6,5.6,Brighton,73.05,73.05,73.05,73.05,73.05,73.05,73.05,73.05,73.05,73.05,4.66,2.91,3.89,3.42,3.75,3.68,3.32,3.48,3.81,2.91
M,159,March,5.8,5.8,Brighton,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,0.34,0.26,0.31,0.29,0.30,0.30,0.28,0.29,0.31,0.26
M,160,Minteh,6.0,6.0,Brighton,37.20,80.85,80.85,80.85,80.85,80.85,80.85,80.85,80.85,80.85,2.15,3.07,4.24,3.69,4.05,3.96,3.58,3.70,4.12,3.05
M,162,Gruda,5.4,5.4,Brighton,52.80,40.20,40.20,40.20,40.20,40.20,40.20,40.20,40.20,40.20,3.21,1.72,2.25,1.97,2.11,2.06,1.89,1.96,2.13,1.69
