Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts
D,84,Collins,5.5,5.5,Brentford,87.9,87.9,87.9,87.9,85.95,4.02,4.84,3.54,3.33,3.59
D,85,Van den Berg,5.0,5.0,Brentford,0.0,0.0,0.0,0.0,62.55,0.0,0.0,0.0,0.0,2.54
D,87,Ajer,4.5,4.5,Brentford,81.45,81.45,81.45,81.45,35.4,3.78,4.5,3.27,3.08,1.44
D,88,Kayode,4.5,4.5,Brentford,84.0,84.0,84.0,84.0,83.55,3.2,4.26,2.9,2.86,2.96
D,89,Henry,4.5,4.5,Brentford,16.25,16.25,16.25,16.25,15.55,0.91,1.0,0.9,0.9,0.9
D,90,Hickey,4.5,4.5,Brentford,3.75,3.75,3.75,3.75,3.46,0.61,0.62,0.61,0.61,0.61
D,91,Pinnock,4.5,4.5,Brentford,7.2,7.2,7.2,7.2,2.55,0.38,0.43,0.35,0.32,0.13
D,92,Ji-soo,4.5,4.5,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,93,Schuster,4.5,4.5,Brentford,12.66,12.66,12.66,12.66,4.18,0.58,0.63,0.56,0.55,0.43
D,113,F.Kadıoğlu,4.5,4.5,Brighton,43.92,83.7,83.25,83.25,83.25,1.36,3.87,3.7,2.55,3.47
D,114,Boscagli,4.5,4.5,Brighton,84.0,64.05,64.05,64.05,64.05,2.85,3.2,3.04,2.38,3.14
D,115,De Cuyper,4.5,4.5,Brighton,69.75,31.95,27.45,27.45,27.45,3.18,2.14,1.7,1.26,1.61
D,116,Dunk,4.5,4.5,Brighton,30.51,27.4,27.4,27.4,27.4,1.0,1.27,1.24,0.99,1.24
D,117,Coppola,4.5,4.5,Brighton,0.08,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08
D,118,Igor,4.5,4.5,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,119,Costinha,4.5,4.5,Brighton,10.97,8.91,8.91,8.91,8.91,0.72,0.78,0.78,0.72,0.76
D,120,Svoboda,5.0,5.0,Brighton,1.77,1.6,1.6,1.6,1.6,0.38,0.4,0.39,0.39,0.39
D,130,Wieffer,5.0,5.0,Brighton,83.4,77.7,77.7,77.7,77.7,3.02,4.21,4.1,2.9,3.85
D,328,Struijk,5.0,5.0,Brighton,10.05,21.65,21.65,21.65,21.65,0.37,1.22,1.19,0.97,1.2
D,504,Vuskovic,5.0,5.0,Brighton,74.25,74.25,74.25,74.25,74.25,2.89,4.14,3.94,3.04,4.05
D,142,James,5.5,5.5,Chelsea,61.65,61.65,61.65,61.65,61.65,2.83,2.02,3.93,2.6,2.98
D,143,Chalobah,5.5,5.5,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,144,Gusto,5.0,5.0,Chelsea,12.25,12.25,12.25,12.25,12.25,0.76,0.66,0.9,0.74,0.79
D,145,Fofana,5.0,5.0,Chelsea,38.85,38.85,38.85,38.85,38.85,1.69,1.42,2.09,1.64,1.68
D,146,B.Badiashile,4.5,4.5,Chelsea,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08
D,147,Tosin,4.5,4.5,Chelsea,5.53,5.53,5.53,5.53,5.53,0.27,0.25,0.32,0.27,0.28
D,148,Hato,4.5,4.5,Chelsea,12.44,12.44,12.44,12.44,12.44,0.67,0.61,0.77,0.66,0.68
D,149,Colwill,5.0,5.0,Chelsea,76.8,76.8,76.8,76.8,76.8,3.01,2.28,4.03,2.81,3.09
D,150,M.Sarr,4.5,4.5,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,151,Acheampong,4.5,4.5,Chelsea,2.34,2.34,2.34,2.34,2.34,0.21,0.2,0.23,0.21,0.21
D,152,Palestra,5.5,5.5,Chelsea,75.75,75.75,75.75,75.75,75.75,3.77,2.49,5.27,3.35,4.01
D,153,Disasi,4.5,4.5,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,200,Lacroix,6.0,6.0,Chelsea,79.35,79.35,79.35,79.35,79.35,3.67,2.94,4.67,3.53,3.69
D,561,Anselmino,4.5,4.5,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,583,Chavarria,5.0,5.0,Chelsea,9.81,9.81,9.81,9.81,9.81,0.84,0.75,0.93,0.81,0.85
D,173,Thomas,4.0,4.0,Coventry City,82.35,82.35,82.35,82.35,82.35,4.24,2.05,3.1,3.1,3.11
D,174,Kitching,4.0,4.0,Coventry City,12.7,12.7,12.7,12.7,12.7,0.84,0.63,0.73,0.72,0.73
D,175,van Ewijk,4.0,4.0,Coventry City,87.96,87.96,87.96,87.96,87.96,4.31,1.69,2.92,2.8,2.91
D,176,Dasilva,4.0,4.0,Coventry City,78.6,78.6,78.6,78.6,78.6,3.67,1.32,2.4,2.32,2.42
D,177,Kesler-Hayden,4.0,4.0,Coventry City,9.36,9.36,9.36,9.36,9.36,0.55,0.44,0.49,0.48,0.49
D,178,Bidwell,4.0,4.0,Coventry City,1.71,1.71,1.71,1.71,1.71,0.14,0.12,0.12,0.12,0.12
D,179,Latibeaudiere,4.0,4.0,Coventry City,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.2,0.2
D,180,Woolfenden,4.0,4.0,Coventry City,3.74,3.74,3.74,3.74,3.74,0.32,0.28,0.29,0.29,0.29
D,181,Brau,4.0,4.0,Coventry City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,182,Amenda,4.0,4.0,Coventry City,81.3,81.3,81.3,81.3,81.3,3.87,1.81,2.8,2.79,2.81
D,201,Muñoz,5.5,5.5,Crystal Palace,66.45,66.45,66.45,66.45,66.45,2.29,2.99,3.74,2.88,3.37
D,202,Richards,5.0,5.0,Crystal Palace,87.9,87.9,87.9,87.9,87.9,2.88,3.77,4.37,3.96,4.02
D,203,Canvot,5.0,5.0,Crystal Palace,87.9,87.9,87.9,87.9,87.9,2.95,3.85,4.47,4.03,4.14
D,204,Mitchell,4.5,4.5,Crystal Palace,83.4,83.4,83.4,83.4,83.4,2.43,3.25,4.16,3.16,3.7
D,205,Sosa,4.5,4.5,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
D,206,Chadi Riad,4.5,4.5,Crystal Palace,20.4,32.25,39.3,44.1,44.1,0.68,1.34,1.87,1.8,1.91
D,207,Mingueza,4.5,4.5,Crystal Palace,26.55,24.18,23.09,21.68,21.68,0.98,1.07,1.16,1.02,1.08
D,220,Cardines,4.5,4.5,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,577,Tomiyasu,4.5,4.5,Crystal Palace,55.35,47.55,42.6,39.3,39.3,1.78,1.95,1.98,1.67,1.7
D,588,Khalaili,5.0,5.0,Crystal Palace,12.19,12.19,12.19,12.19,12.19,0.8,0.86,0.93,0.84,0.9
D,229,Tarkowski,6.0,6.0,Everton,82.95,82.95,82.95,82.95,82.95,3.43,3.5,3.6,4.49,4.7
D,230,Branthwaite,5.5,5.5,Everton,81.45,81.45,81.45,81.45,81.45,3.07,3.12,3.21,4.01,4.19
D,231,Keane,5.0,5.0,Everton,13.8,13.8,13.8,13.8,13.8,0.78,0.76,0.78,0.88,0.91
D,232,O'Brien,5.0,5.0,Everton,30.6,28.43,28.43,28.43,28.43,1.13,1.12,1.1,1.32,1.34
D,233,Mykolenko,4.5,4.5,Everton,78.3,78.3,78.3,78.3,78.3,2.61,2.69,2.7,3.68,3.69
D,234,Patterson,4.5,4.5,Everton,0.08,0.08,0.08,0.08,0.08,0.16,0.16,0.16,0.16,0.16
D,235,Aznou,4.0,4.0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,253,Andersen,5.0,5.0,Fulham,79.8,79.8,79.8,79.8,79.8,3.88,3.9,2.62,2.96,3.67
D,254,Robinson,4.5,4.5,Fulham,49.65,49.65,49.65,49.65,49.65,2.3,2.37,1.73,1.95,2.38
D,255,J.Cuenca,4.5,4.5,Fulham,23.4,23.4,23.4,23.4,23.4,1.14,1.14,0.85,0.93,1.1
D,256,Tete,4.5,4.5,Fulham,40.2,40.2,40.2,40.2,40.2,1.81,1.85,1.37,1.52,1.89
D,257,Bassey,4.5,4.5,Fulham,82.65,82.65,82.65,82.65,82.65,3.26,3.32,1.94,2.45,3.19
D,258,Castagne,4.5,4.5,Fulham,53.55,53.55,53.55,53.55,53.1,2.22,2.3,1.55,1.85,2.28
D,269,Sessegnon,4.5,4.5,Fulham,40.12,40.12,40.12,40.12,40.12,1.88,1.95,1.51,1.69,1.99
D,277,Egan,4.0,4.0,Hull City,84.45,84.45,84.45,84.45,77.4,3.36,3.14,2.25,2.83,3.32
D,278,Hughes,4.0,4.0,Hull City,0.0,0.0,0.0,0.0,57.3,0.0,0.0,0.0,0.0,2.45
D,279,Ajayi,4.0,4.0,Hull City,74.25,74.25,74.25,74.25,71.85,2.69,2.5,1.76,2.25,2.83
D,280,Coyle,4.0,4.0,Hull City,79.5,79.5,79.5,79.5,79.5,2.54,2.44,1.4,1.82,2.7
D,281,Drameh,4.0,4.0,Hull City,12.85,12.85,12.85,12.85,12.66,0.54,0.53,0.44,0.48,0.54
D,282,Giles,4.0,4.0,Hull City,78.9,78.75,78.75,78.75,78.75,2.76,2.67,1.56,2.01,2.9
D,283,Jacob,4.0,4.0,Hull City,0.27,0.9,0.9,0.9,0.9,0.06,0.2,0.2,0.2,0.2
D,284,McCarthy,4.0,4.0,Hull City,1.57,1.57,1.57,1.57,0.35,0.09,0.09,0.08,0.09,0.05
D,285,McNair,4.0,4.0,Hull City,5.55,5.4,5.4,5.4,3.0,0.33,0.33,0.31,0.32,0.3
