index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games
35,35,Buendia,AVL,3,6.0,0.0,0.0,0.0,0.0,0.0
36,36,Cash,AVL,2,4.5,2.372,86.02,-1.0,86.0,1.0
37,37,Chambers,AVL,2,4.0,0.383,12.22,0.0,0.0,0.0
38,38,Coutinho,AVL,3,6.0,1.1840000000000002,23.16,1.0,3.0,1.0
39,39,Davis,AVL,4,5.0,0.154,1.96,0.0,0.0,0.0
40,40,Dendoncker,AVL,3,5.0,0.0,0.0,0.0,0.0,0.0
41,41,Diego Carlos,AVL,2,4.5,0.46,16.58,0.0,26.0,1.0
42,42,Digne,AVL,2,4.5,1.63,47.87,-1.0,90.0,1.0
43,43,Douglas Luiz,AVL,3,5.5,2.708,83.59,1.0,90.0,1.0
44,44,Duran,AVL,4,5.0,0.0,0.0,0.0,0.0,0.0
45,45,Hause,AVL,2,4.0,0.0,0.0,0.0,0.0,0.0
46,46,Iroegbunam,AVL,3,4.5,0.0,0.0,0.0,0.0,0.0
47,47,Kamara,AVL,3,5.0,2.072,76.98,2.0,90.0,1.0
48,48,Konsa,AVL,2,4.5,1.942,76.56,0.0,90.0,1.0
49,49,Martinez,AVL,1,5.0,3.303,92.33,1.0,90.0,1.0
50,50,McGinn,AVL,3,5.5,2.3280000000000003,76.75,2.0,63.0,1.0
51,51,Mings,AVL,2,4.5,2.028,81.45,0.0,30.0,1.0
52,52,Nakamba,LUT,3,4.5,1.977,87.25,2.0,90.0,1.0
53,53,Olsen,AVL,1,4.0,0.052000000000000005,1.43,0.0,0.0,0.0
54,54,Philogene,AVL,3,4.5,1.547,34.7,1.0,3.0,1.0
55,55,J.Ramsey,AVL,3,6.0,0.0,0.0,0.0,0.0,0.0
56,56,Sanson,AVL,3,4.5,0.0,0.0,0.0,0.0,0.0
57,57,Sinisalo,AVL,1,4.0,0.0,0.0,0.0,0.0,0.0
58,58,Tielemans,AVL,3,6.0,1.4409999999999998,36.55,1.0,45.0,1.0
59,59,Bertrand Traoré,AVL,3,5.0,0.0,0.0,0.0,0.0,0.0
60,60,Watkins,AVL,4,8.0,3.932,88.77,5.0,90.0,1.0
61,61,Wesley,AVL,4,5.0,0.0,0.0,0.0,0.0,0.0
62,62,Anthony,BOU,3,5.0,1.989,42.76,1.0,59.0,1.0
63,63,Billing,BOU,3,5.5,2.864,82.28,2.0,90.0,1.0
64,64,Brooks,BOU,3,5.0,1.955,42.82,2.0,74.0,1.0
65,65,Christie,BOU,3,5.0,1.496,33.27,2.0,66.0,1.0
66,66,L.Cook,BOU,3,5.0,2.214,72.21,0.0,0.0,0.0
67,67,Siriki,BOU,3,4.5,0.0,0.0,0.0,0.0,0.0
68,68,Fredericks,BOU,2,4.5,0.282,7.94,0.0,0.0,0.0
69,69,Hill,BOU,2,4.0,0.0,0.0,1.0,15.0,1.0
70,70,Kelly,BOU,2,4.5,0.737,23.47,0.0,0.0,0.0
71,71,Kilkenny,BOU,3,4.5,0.213,4.48,0.0,0.0,0.0
72,72,Kluivert,BOU,3,5.0,0.894,15.36,1.0,30.0,1.0
73,73,Lowe,BOU,3,5.0,0.0,0.0,0.0,0.0,0.0
74,74,Marcondes,BOU,3,4.5,0.217,3.58,0.0,0.0,0.0
75,75,Mepham,BOU,2,4.5,1.1909999999999998,40.67,0.0,30.0,1.0
76,76,Moore,BOU,4,5.0,0.684,11.75,1.0,23.0,1.0
77,77,Neto,BOU,1,4.5,3.528,94.2,2.0,90.0,1.0
78,78,O.Dango,BOU,3,5.0,2.908,65.81,0.0,0.0,0.0
79,79,Pearson,BOU,3,4.5,0.0,0.0,0.0,0.0,0.0
80,80,Randolph,BOU,1,4.0,0.0,0.0,0.0,0.0,0.0
81,81,Rothwell,BOU,3,5.0,1.472,37.39,2.0,90.0,1.0
82,82,Semenyo,BOU,4,4.5,0.073,1.04,4.0,15.0,1.0
83,83,Senesi,BOU,2,4.5,2.591,84.72,1.0,59.0,1.0
84,84,Smith,BOU,2,4.5,0.6559999999999999,19.2,0.0,0.0,0.0
85,85,Solanke,BOU,4,6.5,4.167,83.11,7.0,90.0,1.0
86,86,Tavernier,BOU,3,5.5,0.77,16.66,0.0,0.0,0.0
87,87,Hamed Traorè,BOU,3,5.0,2.085,43.25,0.0,0.0,0.0
88,88,Travers,BOU,1,4.0,0.0,0.0,0.0,0.0,0.0
89,89,Zabarnyi,BOU,2,4.5,2.154,74.39,2.0,90.0,1.0
90,90,Ajer,BRE,2,4.5,0.789,21.31,1.0,83.0,1.0
91,91,Balcombe,BRE,1,4.0,0.0,0.0,0.0,0.0,0.0
