,ID,Points,Minutes,sim
181,514,3,90,3
182,515,2,90,3
183,518,2,90,3
184,520,6,90,3
185,524,7,90,3
186,525,6,90,3
187,527,3,90,3
188,533,2,90,3
189,535,13,90,3
190,541,6,90,3
191,542,2,90,3
192,548,7,90,3
193,553,2,90,3
194,557,5,90,3
195,559,2,90,3
196,560,2,90,3
197,564,2,90,3
198,567,2,90,3
199,568,2,90,3
200,570,7,90,3
201,571,7,90,3
202,573,2,90,3
203,576,3,90,3
204,577,7,90,3
205,578,6,90,3
206,580,1,90,3
207,585,3,90,3
208,591,12,90,3
209,593,1,90,3
210,596,10,90,3
211,598,6,90,3
212,600,9,90,3
213,611,2,90,3
214,622,5,90,3
215,625,2,90,3
216,628,6,90,3
217,632,2,90,3
218,635,7,90,3
219,651,2,90,3
0,3,2,90,4
1,4,7,90,4
2,9,7,90,4
3,11,2,90,4
4,14,-1,90,4
5,15,2,90,4
6,16,11,90,4
7,17,10,90,4
8,18,2,90,4
9,19,2,90,4
10,20,7,90,4
11,23,17,90,4
12,26,1,90,4
13,28,2,90,4
14,29,2,90,4
15,36,2,90,4
16,38,2,90,4
17,44,2,90,4
18,45,2,90,4
19,47,2,90,4
20,50,2,90,4
21,52,2,90,4
22,54,2,90,4
23,58,2,90,4
24,63,3,90,4
25,64,5,90,4
26,71,9,90,4
27,77,2,90,4
28,78,15,90,4
29,79,2,90,4
30,80,10,90,4
31,81,2,90,4
32,82,2,90,4
33,85,2,90,4
34,86,6,90,4
35,88,6,90,4
36,89,7,90,4
37,91,6,90,4
38,94,3,90,4
39,99,15,90,4
40,101,3,90,4
41,104,6,90,4
42,106,3,90,4
43,111,3,90,4
44,115,2,90,4
45,120,1,90,4
46,121,2,90,4
47,122,1,90,4
48,123,10,90,4
49,128,1,90,4
50,145,1,90,4
51,146,3,90,4
52,148,5,90,4
53,149,2,90,4
54,152,2,90,4
55,157,4,90,4
56,159,4,90,4
57,162,2,90,4
58,163,2,90,4
59,168,2,90,4
60,174,7,90,4
61,177,2,90,4
62,182,7,90,4
63,185,2,90,4
64,186,5,90,4
65,188,2,90,4
66,189,3,90,4
67,191,2,90,4
68,192,2,90,4
69,199,2,90,4
70,200,1,90,4
71,201,1,90,4
72,204,1,90,4
73,207,6,90,4
74,210,1,90,4
75,211,1,90,4
76,216,2,90,4
77,219,2,90,4
78,220,2,90,4
79,222,5,90,4
80,224,2,90,4
81,226,3,90,4
82,230,7,90,4
83,231,2,90,4
84,232,2,90,4
85,235,5,90,4
86,236,2,90,4
87,238,2,90,4
88,240,2,90,4
89,241,2,90,4
90,247,2,90,4
91,248,2,90,4
92,251,2,90,4
93,252,2,90,4
94,255,2,90,4
95,257,2,90,4
96,267,5,90,4
97,268,2,90,4
98,272,2,90,4
99,274,2,90,4
100,275,5,90,4
101,278,2,90,4
102,282,2,90,4
103,290,2,90,4
104,291,-1,90,4
105,293,-1,90,4
106,295,-1,90,4
107,296,-1,90,4
108,298,2,90,4
109,300,7,90,4
110,301,-1,90,4
111,306,2,90,4
112,309,2,90,4
113,310,3,90,4
114,316,10,90,4
115,317,2,90,4
116,323,2,90,4
117,327,2,90,4
118,328,2,90,4
119,329,5,90,4
120,335,2,90,4
121,336,5,90,4
122,338,6,90,4
123,339,4,90,4
124,340,6,90,4
125,346,3,90,4
126,347,6,90,4
127,348,8,90,4
128,349,4,90,4
129,350,6,90,4
130,351,5,90,4
131,354,3,90,4
132,355,9,90,4
133,359,2,90,4
134,361,6,90,4
135,363,8,90,4
136,364,5,90,4
137,366,9,90,4
138,369,6,90,4
139,378,3,90,4
140,380,6,90,4
141,383,6,90,4
142,385,3,90,4
143,386,8,90,4
144,388,1,90,4
145,389,5,90,4
146,392,2,90,4
147,394,7,90,4
148,395,2,90,4
149,398,2,90,4
150,402,2,90,4
151,403,7,90,4
152,409,2,90,4
153,413,2,90,4
154,415,2,90,4
155,417,2,90,4
156,420,2,90,4
157,432,2,90,4
158,433,2,90,4
159,434,2,90,4
160,436,1,90,4
161,443,1,90,4
162,447,2,90,4
163,449,7,90,4
164,455,-1,90,4
165,461,-1,90,4
166,463,7,90,4
167,474,-1,90,4
168,475,2,90,4
169,477,-1,90,4
170,486,1,90,4
171,491,7,90,4
172,492,7,90,4
173,494,13,90,4
174,495,1,90,4
175,498,1,90,4
176,499,2,90,4
177,506,1,90,4
178,508,1,90,4
179,509,6,90,4
180,511,7,90,4
181,513,1,90,4
182,514,7,90,4
183,518,2,90,4
184,520,2,90,4
185,524,1,90,4
186,525,5,90,4
187,528,1,90,4
188,530,2,90,4
189,531,2,90,4
190,533,1,90,4
191,542,1,90,4
192,548,2,90,4
193,553,2,90,4
194,557,2,90,4
195,559,1,90,4
196,564,1,90,4
197,566,5,90,4
198,567,1,90,4
199,568,8,90,4
200,573,1,90,4
201,578,2,90,4
202,585,2,90,4
203,587,2,90,4
204,588,2,90,4
205,593,6,90,4
206,594,6,90,4
207,608,3,90,4
208,617,16,90,4
209,621,5,90,4
210,622,2,90,4
211,623,2,90,4
212,628,1,90,4
213,630,2,90,4
214,631,7,90,4
215,636,7,90,4
216,650,1,90,4
217,652,3,90,4
218,10145,1,90,4
219,10149,2,90,4
0,2,2,90,5
1,3,2,90,5
2,4,2,90,5
3,9,5,90,5
4,10,6,90,5
5,11,2,90,5
6,14,3,90,5
7,15,8,90,5
8,16,2,90,5
9,18,2,90,5
10,19,7,90,5
11,20,2,90,5
12,23,11,90,5
13,26,1,90,5
14,28,7,90,5
15,31,2,90,5
16,35,2,90,5
17,36,2,90,5
18,44,2,90,5
19,47,2,90,5
20,52,2,90,5
21,53,3,90,5
22,57,2,90,5
23,58,7,90,5
24,63,5,90,5
25,64,3,90,5
26,70,6,90,5
27,71,3,90,5
28,78,4,90,5
