,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2692,21,294,Forster,1,13,Southampton,20,50,2
2710,21,325,Johnson,2,14,Stoke,110,47,2
2711,21,231,Yaya Touré,3,10,Man City,43,72,2
2717,21,368,Sigurdsson,3,16,Swansea,80,74,2
2722,21,37,Arter,3,2,Bournemouth,91,50,2
2725,21,153,Maguire,2,7,Hull,88,44,2
2727,21,268,Mkhitaryan,3,11,Man Utd,1,87,2
2745,21,17,Wilshere,3,2,Bournemouth,91,58,2
2755,21,441,Morrison,3,19,West Brom,35,43,2
2758,21,306,Ward-Prowse,3,13,Southampton,20,50,2
2766,21,110,Puncheon,3,5,Crystal Palace,31,51,2
2786,21,202,Allen,3,14,Stoke,110,49,2
2803,21,201,Henderson,3,9,Liverpool,14,62,2
2836,21,235,De Bruyne,3,10,Man City,43,105,2
2851,21,574,Grant,1,14,Stoke,110,43,2
2881,21,248,Rojo,2,11,Man Utd,1,52,2
2885,21,177,Albrighton,3,8,Leicester,13,50,2
2894,21,458,Noble,3,20,West Ham,21,62,2
2904,21,251,Darmian,2,11,Man Utd,1,50,2
2909,21,446,Phillips,3,19,West Brom,35,53,2
2916,21,150,Dawson,2,7,Hull,88,42,2
2939,21,392,Chadli,3,19,West Brom,35,58,2
2974,21,503,Pogba,3,11,Man Utd,1,82,2
2987,21,245,Jones,2,11,Man Utd,1,45,2
2989,21,474,Klavan,2,9,Liverpool,14,44,2
2990,21,228,Sterling,3,10,Man City,43,75,2
3013,21,296,Bertrand,2,13,Southampton,20,56,2
3016,21,318,Shawcross,2,14,Stoke,110,49,2
3019,21,449,Rondón,4,19,West Brom,35,63,2
3022,21,156,Clucas,3,7,Hull,88,47,2
3030,21,349,Larsson,3,15,Sunderland,56,47,2
3033,21,239,Agüero,4,10,Man City,43,127,2
3035,21,313,Long,4,13,Southampton,20,61,2
3043,21,188,Mignolet,1,9,Liverpool,14,48,2
3087,21,303,van Dijk,2,13,Southampton,20,56,2
3088,21,339,Mannone,1,15,Sunderland,56,40,2
3093,21,369,Routledge,3,16,Swansea,80,45,2
3106,21,118,Cabaye,3,5,Crystal Palace,31,56,2
3110,21,478,Negredo,4,12,Middlesbrough,25,61,2
2498,21,261,Januzaj,3,15,Sunderland,56,53,1
2523,21,262,Herrera,3,11,Man Utd,1,62,1
2533,21,456,Ogbonna,2,20,West Ham,21,47,1
2540,21,29,Boruc,1,2,Bournemouth,91,45,1
2552,21,52,Afobe,4,2,Bournemouth,91,53,1
2553,21,496,Chilwell,2,8,Leicester,13,43,1
2579,21,49,Callum Wilson,4,2,Bournemouth,91,60,1
2587,21,83,Fàbregas,3,4,Chelsea,8,70,1
2590,21,33,Daniels,2,2,Bournemouth,91,52,1
2628,21,172,Simpson,2,8,Leicester,13,49,1
2642,21,230,Silva,3,10,Man City,43,86,1
2646,21,191,Lovren,2,9,Liverpool,14,49,1
2647,21,181,Gray,3,8,Leicester,13,48,1
2706,21,485,Wijnaldum,3,9,Liverpool,14,75,1
2720,21,571,Robson-Kanu,4,19,West Brom,35,50,1
2728,21,402,Son,3,17,Spurs,6,72,1
2747,21,157,Livermore,3,19,West Brom,35,47,1
2765,21,476,Denayer,2,15,Sunderland,56,47,1
2769,21,311,Rodriguez,3,13,Southampton,20,59,1
2814,21,48,King,3,2,Bournemouth,91,62,1
2825,21,256,Mata,3,11,Man Utd,1,72,1
2833,21,165,Schmeichel,1,8,Leicester,13,49,1
2834,21,241,Iheanacho,4,10,Man City,43,60,1
2863,21,549,Pérez,4,1,Arsenal,3,78,1
2915,21,259,Carrick,3,11,Man Utd,1,42,1
2945,21,376,Dyer,3,16,Swansea,80,47,1
3001,21,209,Firmino,3,9,Liverpool,14,85,1
3025,21,67,Vokes,4,3,Burnley,90,57,1
3054,21,32,Steve Cook,2,2,Bournemouth,91,48,1
3077,21,425,Deeney,4,18,Watford,57,66,1
3091,21,100,Hennessey,1,5,Crystal Palace,31,43,1
3094,21,167,Morgan,2,8,Leicester,13,46,1
2481,21,142,Lennon,3,6,Everton,11,55,0
2488,21,563,Traoré,3,12,Middlesbrough,25,48,0
2489,21,283,Clayton,3,12,Middlesbrough,25,43,0
2501,21,158,Elmohamady,3,7,Hull,88,46,0
2508,21,220,Kolarov,2,10,Man City,43,58,0
2519,21,558,Mawson,2,16,Swansea,80,46,0
2520,21,412,Nyom,2,19,West Brom,35,44,0
2530,21,374,Ayew,3,20,West Ham,21,71,0
2534,21,361,Rangel,2,16,Swansea,80,41,0
2536,21,477,Barragán,2,12,Middlesbrough,25,43,0
2546,21,224,Sagna,2,10,Man City,43,53,0
2567,21,335,Bojan,3,14,Stoke,110,55,0
2569,21,490,Guzan,1,12,Middlesbrough,25,42,0
2592,21,459,Kouyaté,3,20,West Ham,21,50,0
2595,21,168,Fuchs,2,8,Leicester,13,53,0
2597,21,438,Brunt,2,19,West Brom,35,48,0
2602,21,541,Bravo,1,10,Man City,43,50,0
2618,21,254,Blind,2,11,Man Utd,1,52,0
2620,21,182,Amartey,3,8,Leicester,13,43,0
2625,21,214,Sturridge,4,9,Liverpool,14,97,0
2649,21,559,Ndong,3,15,Sunderland,56,48,0
2650,21,97,Costa,4,4,Chelsea,8,104,0
2651,21,569,Mbokani,4,7,Hull,88,54,0
2653,21,461,Payet,3,20,West Ham,21,90,0
2671,21,469,Valencia,4,6,Everton,11,52,0
2699,21,491,Ramírez,3,12,Middlesbrough,25,52,0
2700,21,223,Clichy,2,10,Man City,43,52,0
2732,21,465,Nordtveit,3,20,West Ham,21,47,0
2733,21,6,Bellerín,2,1,Arsenal,3,65,0
2735,21,488,Gueye,3,6,Everton,11,50,0
2739,21,567,Slimani,4,8,Leicester,13,82,0
2777,21,266,Lingard,3,11,Man Utd,1,56,0
2798,21,330,Walters,3,14,Stoke,110,53,0
2804,21,340,Pickford,1,15,Sunderland,56,42,0
2842,21,387,Trippier,2,17,Spurs,6,47,0
2854,21,185,Ulloa,4,8,Leicester,13,55,0
2857,21,489,Sané,3,10,Man City,43,77,0
2876,21,337,Diouf,4,14,Stoke,110,57,0
2897,21,106,Kelly,2,5,Crystal Palace,31,42,0
2935,21,572,Sissoko,3,17,Spurs,6,66,0
2943,21,193,Clyne,2,9,Liverpool,14,59,0
2944,21,36,Aké,2,4,Chelsea,8,39,0
2947,21,360,Taylor,2,16,Swansea,80,41,0
2969,21,499,Djilobodji,2,15,Sunderland,56,42,0
2972,21,344,van Aanholt,2,5,Crystal Palace,31,49,0
2999,21,176,Mahrez,3,8,Leicester,13,89,0
3003,21,173,Huth,2,8,Leicester,13,49,0
3017,21,212,Mané,3,9,Liverpool,14,93,0
3027,21,63,Arfield,3,3,Burnley,90,52,0
3097,21,111,Zaha,3,5,Crystal Palace,31,58,0
2950,21,226,Otamendi,2,10,Man City,43,59,-1
2697,21,436,McAuley,2,19,West Brom,35,50,-3
