,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1467,26,220,Maguire,2,11,Leicester,13,54,1
1491,26,312,Lascelles,2,15,Newcastle,4,47,1
1498,26,338,Ward-Prowse,3,16,Southampton,20,51,1
1502,26,335,Bednarek,2,16,Southampton,20,40,1
1503,26,355,Vertonghen,2,17,Spurs,6,59,1
1508,26,315,Manquillo,2,15,Newcastle,4,43,1
1535,26,222,Evans,2,11,Leicester,13,48,1
1540,26,38,Ibe,3,2,Bournemouth,91,49,1
1541,26,459,Jorginho,3,6,Chelsea,8,46,1
1600,26,450,Torreira,3,1,Arsenal,3,47,1
1603,26,150,Milivojevic,3,7,Crystal Palace,31,65,1
1606,26,44,Mousset,4,2,Bournemouth,91,49,1
1625,26,503,Montoya,2,3,Brighton,36,43,1
1638,26,317,Ritchie,3,15,Newcastle,4,58,1
1650,26,592,Batshuayi,4,7,Crystal Palace,31,62,1
1670,26,31,Aké,2,2,Bournemouth,91,51,1
1671,26,343,Redmond,3,16,Southampton,20,55,1
1682,26,339,Oriol Romeu,3,16,Southampton,20,42,1
1771,26,58,March,3,3,Brighton,36,47,1
1779,26,27,Steve Cook,2,2,Bournemouth,91,43,1
1792,26,353,Alderweireld,2,17,Spurs,6,60,1
1795,26,182,Cairney,3,9,Fulham,54,46,1
1796,26,388,Cleverley,3,18,Watford,57,50,1
1800,26,245,Alexander-Arnold,2,12,Liverpool,14,58,1
1801,26,396,Deeney,4,18,Watford,57,58,1
1832,26,591,Tielemans,3,11,Leicester,13,60,1
1288,26,452,Gunn,1,16,Southampton,20,43,0
1303,26,293,Young,2,14,Man Utd,1,57,0
1339,26,9,Chambers,2,9,Fulham,54,42,0
1355,26,192,Schindler,2,10,Huddersfield,38,42,0
1377,26,266,Danilo,2,13,Man City,43,48,0
1391,26,42,Brooks,3,2,Bournemouth,91,50,0
1466,26,372,Kane,4,17,Spurs,6,126,0
1497,26,138,Tomkins,2,7,Crystal Palace,31,43,0
1518,26,441,Ward,2,7,Crystal Palace,31,43,0
1525,26,76,Gudmundsson,3,4,Burnley,90,55,0
1529,26,191,Lössl,1,10,Huddersfield,38,44,0
1558,26,36,Stanislas,3,2,Bournemouth,91,60,0
1614,26,305,Rashford,4,14,Man Utd,1,73,0
1630,26,47,Ryan,1,3,Brighton,36,44,0
1639,26,479,Targett,2,16,Southampton,20,42,0
1644,26,331,Yoshida,2,16,Southampton,20,41,0
1645,26,13,Özil,3,1,Arsenal,3,79,0
1668,26,241,Clyne,2,2,Bournemouth,91,44,0
1669,26,100,Mendez-Laing,3,5,Cardiff,97,48,0
1676,26,264,Otamendi,2,13,Man City,43,60,0
1700,26,23,Aubameyang,4,1,Arsenal,3,108,0
1725,26,426,Saïss,2,20,Wolves,39,42,0
1755,26,157,Coleman,2,8,Everton,11,52,0
1780,26,211,Mounie,4,10,Huddersfield,38,58,0
1807,26,292,Lindelöf,2,14,Man Utd,1,49,0
1819,26,124,Willian,3,6,Chelsea,8,71,0
1371,26,113,Azpilicueta,2,6,Chelsea,8,64,-1
1394,26,116,David Luiz,2,6,Chelsea,8,58,-1
1611,26,115,Alonso,2,6,Chelsea,8,62,-1
1785,26,198,Kongolo,2,10,Huddersfield,38,43,-1
2008,27,394,Deulofeu,3,18,Watford,57,57,23
2294,27,396,Deeney,4,18,Watford,57,58,15
2020,27,18,Mkhitaryan,3,1,Arsenal,3,66,14
2307,27,151,Zaha,4,7,Crystal Palace,31,70,13
2247,27,493,Rondón,4,15,Newcastle,4,59,12
1870,27,468,Alisson,1,12,Liverpool,14,59,10
1937,27,87,Wood,4,4,Burnley,90,63,9
2053,27,419,Chicharito,4,19,West Ham,21,61,9
2132,27,150,Milivojevic,3,7,Crystal Palace,31,65,9
1874,27,247,Robertson,2,12,Liverpool,14,67,8
2016,27,372,Kane,4,17,Spurs,6,126,8
2028,27,323,Hayden,3,15,Newcastle,4,43,8
2031,27,409,Diop,2,19,West Ham,21,42,8
2229,27,489,Snodgrass,3,19,West Ham,21,50,8
2257,27,8,Kolasinac,2,1,Arsenal,3,49,8
1860,27,22,Lacazette,4,1,Arsenal,3,94,7
1893,27,85,Barnes,4,4,Burnley,90,56,7
1908,27,2,Leno,1,1,Arsenal,3,49,7
2041,27,147,McArthur,3,7,Crystal Palace,31,49,7
2079,27,222,Evans,2,11,Leicester,13,48,7
2087,27,45,King,4,2,Bournemouth,91,64,7
2168,27,415,Antonio,3,19,West Ham,21,68,7
2170,27,592,Batshuayi,4,7,Crystal Palace,31,62,7
2219,27,437,Jiménez,4,20,Wolves,39,69,7
2237,27,575,Babel,3,9,Fulham,54,56,7
2301,27,246,van Dijk,2,12,Liverpool,14,67,7
1844,27,390,Doucouré,3,18,Watford,57,58,6
1862,27,15,Iwobi,3,1,Arsenal,3,54,6
1882,27,403,Ogbonna,2,19,West Ham,21,42,6
1897,27,326,Pérez,4,15,Newcastle,4,61,6
1936,27,284,Smalling,2,14,Man Utd,1,56,6
1962,27,282,de Gea,1,14,Man Utd,1,57,6
1989,27,482,Schär,2,15,Newcastle,4,45,6
1998,27,314,Lejeune,2,15,Newcastle,4,44,6
2039,27,312,Lascelles,2,15,Newcastle,4,47,6
2063,27,243,Matip,2,12,Liverpool,14,49,6
2134,27,286,Shaw,2,14,Man Utd,1,51,6
2149,27,309,Dubravka,1,15,Newcastle,4,50,6
2266,27,7,Mustafi,2,1,Arsenal,3,54,6
2271,27,91,Bamba,2,5,Cardiff,97,44,6
2299,27,292,Lindelöf,2,14,Man Utd,1,49,6
1895,27,293,Young,2,14,Man Utd,1,57,5
1952,27,354,Rose,2,17,Spurs,6,58,5
1964,27,310,Yedlin,2,15,Newcastle,4,45,5
1976,27,534,McNeil,3,4,Burnley,90,44,5
1988,27,389,Capoue,3,18,Watford,57,48,5
2019,27,571,Barnes,3,11,Leicester,13,55,5
2057,27,141,Schlupp,2,7,Crystal Palace,31,43,5
2074,27,191,Lössl,1,10,Huddersfield,38,44,5
2159,27,425,Doherty,2,20,Wolves,39,53,5
2309,27,392,Hughes,3,18,Watford,57,49,5
2071,27,76,Gudmundsson,3,4,Burnley,90,55,4
1903,27,445,Foster,1,18,Watford,57,46,3
1990,27,255,Fabinho,3,12,Liverpool,14,55,3
2129,27,450,Torreira,3,1,Arsenal,3,47,3
2131,27,400,Fabianski,1,19,West Ham,21,47,3
2177,27,253,Salah,3,12,Liverpool,14,132,3
2203,27,302,Pogba,3,14,Man Utd,1,86,3
2240,27,40,Fraser,3,2,Bournemouth,91,64,3
2246,27,251,Mané,3,12,Liverpool,14,103,3
2258,27,531,Longstaff,3,15,Newcastle,4,45,3
2291,27,67,Heaton,1,4,Burnley,90,48,3
2297,27,137,Guaita,1,7,Crystal Palace,31,43,3
1839,27,199,Mooy,3,10,Huddersfield,38,50,2
1852,27,382,Mariappa,2,18,Watford,57,42,2
1857,27,480,Mitrovic,4,9,Fulham,54,63,2
1878,27,149,Townsend,3,7,Crystal Palace,31,56,2
1884,27,452,Gunn,1,16,Southampton,20,43,2
1894,27,80,Westwood,3,4,Burnley,90,46,2
1930,27,364,Eriksen,3,17,Spurs,6,92,2
1941,27,430,Coady,2,20,Wolves,39,45,2
1943,27,376,Cathcart,2,18,Watford,57,45,2
1959,27,381,Janmaat,2,18,Watford,57,49,2
1965,27,406,Rice,2,19,West Ham,21,44,2
1980,27,212,Kachunga,4,10,Huddersfield,38,48,2
1994,27,465,Felipe Anderson,3,19,West Ham,21,68,2
2007,27,252,Wijnaldum,3,12,Liverpool,14,55,2
2018,27,368,Winks,3,17,Spurs,6,55,2
2021,27,367,Son,3,17,Spurs,6,86,2
2033,27,82,Cork,3,4,Burnley,90,46,2
2040,27,233,Maddison,3,11,Leicester,13,66,2
2042,27,254,Milner,3,12,Liverpool,14,56,2
2043,27,72,Tarkowski,2,4,Burnley,90,47,2
2044,27,138,Tomkins,2,7,Crystal Palace,31,43,2
2045,27,338,Ward-Prowse,3,16,Southampton,20,51,2
2047,27,234,Vardy,4,11,Leicester,13,90,2
2058,27,78,Hendrick,3,4,Burnley,90,52,2
2064,27,441,Ward,2,7,Crystal Palace,31,43,2
2069,27,98,Ralls,3,5,Cardiff,97,46,2
2075,27,483,Jonny,2,20,Wolves,39,43,2
2083,27,38,Ibe,3,2,Bournemouth,91,49,2
2094,27,475,Moutinho,3,20,Wolves,39,51,2
2098,27,208,Bacuna,3,10,Huddersfield,38,42,2
2136,27,143,Sakho,2,7,Crystal Palace,31,49,2
2141,27,305,Rashford,4,14,Man Utd,1,73,2
2147,27,411,Noble,3,19,West Ham,21,48,2
2160,27,317,Ritchie,3,15,Newcastle,4,58,2
2180,27,369,Sissoko,3,17,Spurs,6,49,2
2186,27,241,Clyne,2,2,Bournemouth,91,44,2
2188,27,31,Aké,2,2,Bournemouth,91,51,2
2189,27,343,Redmond,3,16,Southampton,20,55,2
2196,27,339,Oriol Romeu,3,16,Southampton,20,42,2
2197,27,176,Niasse,4,5,Cardiff,97,50,2
2200,27,142,van Aanholt,2,7,Crystal Palace,31,55,2
2211,27,340,Højbjerg,3,16,Southampton,20,44,2
2233,27,306,Lukaku,4,14,Man Utd,1,107,2
2235,27,454,Patrício,1,20,Wolves,39,45,2
2262,27,509,Rico,1,9,Fulham,54,44,2
2289,27,182,Cairney,3,9,Fulham,54,46,2
