,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
121,61,32,Burn,2,Brighton,Brighton,36,42,6
126,62,32,Dunk,2,Brighton,Brighton,36,48,6
131,66,32,Webster,2,Brighton,Brighton,36,43,6
136,67,32,Veltman,2,Brighton,Brighton,36,43,6
161,81,32,Tarkowski,2,Burnley,Burnley,90,53,6
221,104,32,Alonso,2,Chelsea,Chelsea,8,56,6
421,217,32,Schmeichel,1,Leicester,Leicester,13,54,6
461,233,32,Iheanacho,4,Leicester,Leicester,13,62,6
471,238,32,Söyüncü,2,Leicester,Leicester,13,53,6
476,240,32,Thomas,2,Leicester,Leicester,13,41,6
622,338,32,Saint-Maximin,3,Newcastle,Newcastle,4,52,6
681,366,32,Ings,4,Southampton,Southampton,20,84,6
697,383,32,Lloris,1,Spurs,Spurs,6,56,6
721,392,32,Lucas Moura,3,Spurs,Spurs,6,64,6
737,405,32,Ndombele,3,Spurs,Spurs,6,59,6
801,455,32,Patrício,1,Wolves,Wolves,39,53,6
821,465,32,Traoré,3,Wolves,Wolves,39,60,6
923,508,32,Rodríguez,3,Everton,Everton,11,77,6
960,542,32,Reguilón,2,Spurs,Spurs,6,55,6
968,546,32,Semedo,2,Wolves,Wolves,39,51,6
988,561,32,Fofana,2,Leicester,Leicester,13,50,6
997,563,32,Ait Nouri,2,Wolves,Wolves,39,50,6
1012,569,32,Cavani,4,Man Utd,Man Utd,1,80,6
176,89,32,Westwood,3,Burnley,Burnley,90,53,5
241,110,32,Zouma,2,Chelsea,Chelsea,8,53,5
396,203,32,Harrison,3,Leeds,Leeds,2,56,5
416,213,32,Meslier,1,Leeds,Leeds,2,48,5
553,296,32,Pogba,3,Man Utd,Man Utd,1,76,5
689,370,32,Ward-Prowse,3,Southampton,Southampton,20,59,5
781,445,32,Bowen,3,West Ham,West Ham,21,58,5
796,451,32,Diop,2,West Ham,West Ham,21,43,5
879,493,32,Lemina,3,Fulham,Fulham,54,45,5
933,514,32,Watkins,4,Aston Villa,Aston Villa,7,63,5
327,152,32,Coleman,2,Everton,Everton,11,49,4
983,558,32,Coufal,2,West Ham,West Ham,21,48,4
116,57,32,Groß,3,Brighton,Brighton,36,58,3
151,74,32,White,2,Brighton,Brighton,36,45,3
156,76,32,Bissouma,3,Brighton,Brighton,36,44,3
251,114,32,Ziyech,3,Chelsea,Chelsea,8,79,3
266,119,32,Pulisic,3,Chelsea,Chelsea,8,83,3
271,120,32,Mount,3,Chelsea,Chelsea,8,73,3
372,187,32,Cavaleiro,3,Fulham,Fulham,54,53,3
441,228,32,Tielemans,3,Leicester,Leicester,13,64,3
451,231,32,Maddison,3,Leicester,Leicester,13,72,3
466,236,32,Ndidi,3,Leicester,Leicester,13,48,3
493,252,32,Alisson,1,Liverpool,Liverpool,14,60,3
627,339,32,Almirón,3,Newcastle,Newcastle,4,56,3
701,386,32,Alderweireld,2,Spurs,Spurs,6,54,3
709,389,32,Aurier,2,Spurs,Spurs,6,52,3
717,391,32,Dier,2,Spurs,Spurs,6,46,3
729,396,32,Højbjerg,3,Spurs,Spurs,6,49,3
816,464,32,Dendoncker,3,Wolves,Wolves,39,46,3
831,468,32,Jota,3,Liverpool,Liverpool,14,69,3
860,483,32,Ramsdale,1,Sheffield Utd,Sheffield Utd,49,46,3
898,500,32,Havertz,3,Chelsea,Chelsea,8,83,3
6,6,32,Lacazette,4,Arsenal,Arsenal,3,84,2
16,9,32,Xhaka,3,Arsenal,Arsenal,3,52,2
26,11,32,Bellerín,2,Arsenal,Arsenal,3,50,2
46,16,32,Holding,2,Arsenal,Arsenal,3,43,2
66,23,32,Smith Rowe,3,Arsenal,Arsenal,3,42,2
71,24,32,Saka,3,Arsenal,Arsenal,3,51,2
76,26,32,Martinelli,3,Arsenal,Arsenal,3,49,2
111,52,32,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,2
146,70,32,Ryan,1,Arsenal,Arsenal,3,41,2
181,91,32,Wood,4,Burnley,Burnley,90,66,2
206,98,32,Brownhill,3,Burnley,Burnley,90,49,2
211,100,32,McNeil,3,Burnley,Burnley,90,57,2
226,105,32,Jorginho,3,Chelsea,Chelsea,8,47,2
367,166,32,Richarlison,4,Everton,Everton,11,77,2
376,197,32,Ayling,2,Leeds,Leeds,2,44,2
391,202,32,Bamford,4,Leeds,Leeds,2,66,2
401,204,32,Phillips,3,Leeds,Leeds,2,49,2
406,206,32,Roberts,3,Leeds,Leeds,2,46,2
411,211,32,Struijk,2,Leeds,Leeds,2,40,2
481,243,32,Wijnaldum,3,Liverpool,Liverpool,14,53,2
497,253,32,Fabinho,3,Liverpool,Liverpool,14,54,2
505,255,32,Robertson,2,Liverpool,Liverpool,14,73,2
529,278,32,Ederson,1,Man City,Man City,43,61,2
557,298,32,Maguire,2,Man Utd,Man Utd,1,55,2
565,300,32,Shaw,2,Man Utd,Man Utd,1,55,2
574,302,32,Fernandes,3,Man Utd,Man Utd,1,113,2
578,305,32,Henderson,1,Man Utd,Man Utd,1,52,2
586,308,32,Lindelöf,2,Man Utd,Man Utd,1,48,2
590,309,32,McTominay,3,Man Utd,Man Utd,1,49,2
612,326,32,Dubravka,1,Newcastle,Newcastle,4,48,2
637,344,32,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,2
642,346,32,Fleck,3,Sheffield Utd,Sheffield Utd,49,56,2
652,349,32,Norwood,3,Sheffield Utd,Sheffield Utd,49,45,2
657,351,32,Baldock,2,Sheffield Utd,Sheffield Utd,49,49,2
662,353,32,Egan,2,Sheffield Utd,Sheffield Utd,49,47,2
667,356,32,Osborn,3,Sheffield Utd,Sheffield Utd,49,47,2
685,368,32,Armstrong,3,Southampton,Southampton,20,55,2
693,377,32,Adams,4,Southampton,Southampton,20,57,2
733,403,32,Lo Celso,3,Spurs,Spurs,6,69,2
741,411,32,Phillips,3,West Brom,West Brom,35,51,2
751,417,32,Johnstone,1,West Brom,West Brom,35,46,2
771,431,32,Fabianski,1,West Ham,West Ham,21,50,2
786,449,32,Soucek,3,West Ham,West Ham,21,52,2
791,450,32,Fornals,3,West Ham,West Ham,21,58,2
835,469,32,Podence,3,Wolves,Wolves,39,53,2
850,480,32,Sean Longstaff,3,Newcastle,Newcastle,4,46,2
855,481,32,Pereira,3,West Brom,West Brom,35,54,2
883,494,32,Gabriel,2,Arsenal,Arsenal,3,49,2
908,502,32,Allan,3,Everton,Everton,11,52,2
938,516,32,Areola,1,Fulham,Fulham,54,45,2
946,526,32,Elneny,3,Arsenal,Arsenal,3,42,2
951,531,32,Thiago,3,Liverpool,Liverpool,14,55,2
955,540,32,Traoré,3,Aston Villa,Aston Villa,7,58,2
993,562,32,Aina,2,Fulham,Fulham,54,43,2
1026,588,32,Welbeck,4,Brighton,Brighton,36,55,2
1044,603,32,Bryan,2,Sheffield Utd,Sheffield Utd,49,39,2
1059,648,32,Diagne,4,West Brom,West Brom,35,60,2
31,12,32,Martínez,1,Aston Villa,Aston Villa,7,53,1
41,15,32,Maitland-Niles,2,West Brom,West Brom,35,46,1
