,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
645,3,33,Hourihane,3,Aston Villa,Aston Villa,7,59,14
620,3,358,Callum Robinson,4,West Brom,West Brom,35,52,13
586,3,442,Masuaku,2,West Ham,West Ham,21,43,12
617,3,302,Fernandes,3,Man Utd,Man Utd,1,113,12
902,3,120,Mount,3,Chelsea,Chelsea,8,73,12
994,3,275,Mahrez,3,Man City,Man City,43,81,12
1067,3,41,Mings,2,Aston Villa,Aston Villa,7,54,12
571,3,255,Robertson,2,Liverpool,Liverpool,14,73,10
751,3,213,Meslier,1,Leeds,Leeds,2,48,10
773,3,231,Maddison,3,Leicester,Leicester,13,72,10
810,3,38,McGinn,3,Aston Villa,Aston Villa,7,55,10
629,3,133,Kouyaté,3,Crystal Palace,Crystal Palace,31,48,9
656,3,366,Ings,4,Southampton,Southampton,20,84,9
873,3,392,Lucas Moura,3,Spurs,Spurs,6,64,9
969,3,450,Fornals,3,West Ham,West Ham,21,58,9
621,3,506,Wilson,4,Newcastle,Newcastle,4,65,8
757,3,37,Grealish,3,Aston Villa,Aston Villa,7,75,8
784,3,376,Bednarek,2,Southampton,Southampton,20,47,8
844,3,325,Darlow,1,Newcastle,Newcastle,4,49,8
948,3,68,Maupay,4,Brighton,Brighton,36,58,8
974,3,202,Bamford,4,Leeds,Leeds,2,66,8
993,3,166,Richarlison,4,Everton,Everton,11,77,8
1010,3,362,Bertrand,2,Southampton,Southampton,20,50,8
1038,3,65,March,3,Brighton,Brighton,36,49,8
540,3,435,Cresswell,2,West Ham,West Ham,21,57,7
558,3,6,Lacazette,4,Arsenal,Arsenal,3,84,7
758,3,203,Harrison,3,Leeds,Leeds,2,56,7
861,3,412,Bartley,2,West Brom,West Brom,35,44,7
875,3,431,Fabianski,1,West Ham,West Ham,21,50,7
877,3,197,Ayling,2,Leeds,Leeds,2,44,7
890,3,306,Rashford,3,Man Utd,Man Utd,1,96,7
1018,3,251,Mané,3,Liverpool,Liverpool,14,118,7
1064,3,259,Alexander-Arnold,2,Liverpool,Liverpool,14,78,7
561,3,363,McCarthy,1,Southampton,Southampton,20,44,6
577,3,432,Ogbonna,2,West Ham,West Ham,21,47,6
619,3,122,Hudson-Odoi,3,Chelsea,Chelsea,8,57,6
677,3,468,Jota,3,Liverpool,Liverpool,14,69,6
679,3,164,Calvert-Lewin,4,Everton,Everton,11,75,6
691,3,12,Martínez,1,Aston Villa,Aston Villa,7,53,6
701,3,46,Konsa,2,Aston Villa,Aston Villa,7,46,6
706,3,443,Balbuena,2,West Ham,West Ham,21,41,6
783,3,369,Vestergaard,2,Southampton,Southampton,20,47,6
863,3,375,Walker-Peters,2,Southampton,Southampton,20,47,6
870,3,195,Cooper,2,Leeds,Leeds,2,43,6
872,3,155,Digne,2,Everton,Everton,11,62,6
911,3,496,Cash,2,Aston Villa,Aston Villa,7,50,6
999,3,491,Koch,2,Leeds,Leeds,2,43,6
1026,3,152,Coleman,2,Everton,Everton,11,49,6
1043,3,200,Dallas,2,Leeds,Leeds,2,55,6
1047,3,118,Abraham,4,Chelsea,Chelsea,8,71,6
1059,3,449,Soucek,3,West Ham,West Ham,21,52,6
1087,3,228,Tielemans,3,Leicester,Leicester,13,64,6
573,3,137,Townsend,3,Crystal Palace,Crystal Palace,31,55,5
630,3,377,Adams,4,Southampton,Southampton,20,57,5
738,3,388,Kane,4,Spurs,Spurs,6,119,5
840,3,500,Havertz,3,Chelsea,Chelsea,8,83,5
907,3,481,Pereira,3,West Brom,West Brom,35,54,5
920,3,42,Targett,2,Aston Villa,Aston Villa,7,50,5
935,3,254,Salah,3,Liverpool,Liverpool,14,129,5
943,3,518,Mendy,3,Leicester,Leicester,13,42,5
944,3,279,Aké,2,Man City,Man City,43,54,5
1044,3,441,Haller,4,West Ham,West Ham,21,61,5
542,3,483,Ramsdale,1,Sheffield Utd,Sheffield Utd,49,46,4
650,3,102,Azpilicueta,2,Chelsea,Chelsea,8,58,4
739,3,298,Maguire,2,Man Utd,Man Utd,1,55,4
1049,3,77,Lamptey,2,Brighton,Brighton,36,46,4
1054,3,498,Castagne,2,Leicester,Leicester,13,58,4
606,3,8,Leno,1,Arsenal,Arsenal,3,50,3
661,3,422,Furlong,2,West Brom,West Brom,35,45,3
672,3,448,Rice,3,West Ham,West Ham,21,47,3
681,3,52,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,3
748,3,205,Costa,3,Leeds,Leeds,2,50,3
780,3,370,Ward-Prowse,3,Southampton,Southampton,20,59,3
884,3,40,Trézéguet,3,Aston Villa,Aston Villa,7,52,3
906,3,198,Klich,3,Leeds,Leeds,2,52,3
939,3,382,Djenepo,3,Southampton,Southampton,20,54,3
967,3,364,Oriol Romeu,3,Southampton,Southampton,20,45,3
1020,3,417,Johnstone,1,West Brom,West Brom,35,46,3
1042,3,368,Armstrong,3,Southampton,Southampton,20,55,3
539,3,78,Connolly,4,Brighton,Brighton,36,52,2
544,3,512,Doucouré,3,Everton,Everton,11,51,2
548,3,54,Lallana,3,Brighton,Brighton,36,62,2
557,3,184,Mitrović,4,Fulham,Fulham,54,55,2
565,3,252,Alisson,1,Liverpool,Liverpool,14,60,2
575,3,191,Anguissa,3,Fulham,Fulham,54,44,2
588,3,89,Westwood,3,Burnley,Burnley,90,53,2
597,3,395,Davies,2,Spurs,Spurs,6,45,2
628,3,97,Taylor,2,Burnley,Burnley,90,44,2
636,3,345,Basham,2,Sheffield Utd,Sheffield Utd,49,46,2
638,3,91,Wood,4,Burnley,Burnley,90,66,2
664,3,291,de Gea,1,Man Utd,Man Utd,1,53,2
667,3,344,McGoldrick,4,Sheffield Utd,Sheffield Utd,49,52,2
675,3,225,Praet,3,Leicester,Leicester,13,52,2
683,3,100,McNeil,3,Burnley,Burnley,90,57,2
695,3,391,Dier,2,Spurs,Spurs,6,46,2
704,3,253,Fabinho,3,Liverpool,Liverpool,14,54,2
728,3,243,Wijnaldum,3,Liverpool,Liverpool,14,53,2
731,3,446,Diangana,3,West Brom,West Brom,35,50,2
742,3,235,Barnes,3,Leicester,Leicester,13,66,2
746,3,383,Lloris,1,Spurs,Spurs,6,56,2
760,3,352,Jack Robinson,2,Sheffield Utd,Sheffield Utd,49,42,2
777,3,508,Rodríguez,3,Everton,Everton,11,77,2
798,3,485,Hendrick,3,Newcastle,Newcastle,4,45,2
800,3,519,Dunne,2,Burnley,Burnley,90,38,2
