,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2148,13,191,Phillips,3,Leeds,Leeds,2,47,1
2172,13,43,Buendía,3,Aston Villa,Aston Villa,7,62,1
2176,13,482,Townsend,3,Everton,Everton,11,52,1
2196,13,44,Cash,2,Aston Villa,Aston Villa,7,53,1
2203,13,425,Johnson,2,West Ham,West Ham,21,39,1
2216,13,581,Normann,3,Norwich,Norwich,45,45,1
2241,13,12,Elneny,3,Arsenal,Arsenal,3,44,1
2259,13,179,Godfrey,2,Everton,Everton,11,47,1
2271,13,60,March,3,Brighton,Brighton,36,53,1
2272,13,586,Edouard,4,Crystal Palace,Crystal Palace,31,62,1
2275,13,306,Hayden,3,Newcastle,Newcastle,4,45,1
2276,13,146,Guaita,1,Crystal Palace,Crystal Palace,31,46,1
2357,13,404,João Pedro,4,Watford,Watford,57,54,1
2362,13,162,Mitchell,2,Crystal Palace,Crystal Palace,31,45,1
2425,13,227,Chamberlain,3,Liverpool,Liverpool,14,58,1
2434,13,128,Zouma,2,West Ham,West Ham,21,54,1
2449,13,336,Redmond,3,Southampton,Southampton,20,59,1
1884,13,148,McArthur,3,Crystal Palace,Crystal Palace,31,43,0
1896,13,180,Richarlison,4,Everton,Everton,11,75,0
1943,13,382,Femenía,2,Watford,Watford,57,43,0
1972,13,462,Mwepu,3,Brighton,Brighton,36,59,0
1979,13,135,Chilwell,2,Chelsea,Chelsea,8,56,0
2015,13,579,Ronaldo,4,Man Utd,Man Utd,1,122,0
2021,13,517,Elyounoussi,3,Southampton,Southampton,20,54,0
2093,13,224,Matip,2,Liverpool,Liverpool,14,49,0
2113,13,399,Sarr,3,Watford,Watford,57,57,0
2134,13,252,Stones,2,Man City,Man City,43,52,0
2199,13,474,Ward,2,Crystal Palace,Crystal Palace,31,45,0
2214,13,491,Livramento,2,Southampton,Southampton,20,44,0
2248,13,376,Foster,1,Watford,Watford,57,41,0
2252,13,334,McCarthy,1,Southampton,Southampton,20,43,0
2284,13,269,Cavani,4,Man Utd,Man Utd,1,84,0
2311,13,53,Lallana,3,Brighton,Brighton,36,53,0
2316,13,85,Ghoddos,3,Brentford,Brentford,94,53,0
2355,13,488,Andersen,2,Crystal Palace,Crystal Palace,31,45,0
2363,13,133,Christensen,2,Chelsea,Chelsea,8,46,0
2398,13,141,Havertz,3,Chelsea,Chelsea,8,79,0
2414,13,331,Omobamidele,2,Norwich,Norwich,45,39,0
2431,13,438,Podence,3,Wolves,Wolves,39,55,0
2444,13,351,Salisu,2,Southampton,Southampton,20,45,0
2445,13,130,Kanté,3,Chelsea,Chelsea,8,49,0
1998,13,343,Bednarek,2,Southampton,Southampton,20,44,-1
2617,14,233,Salah,3,Liverpool,Liverpool,14,133,15
2594,14,579,Ronaldo,4,Man Utd,Man Utd,1,122,13
2940,14,222,Henderson,3,Liverpool,Liverpool,14,50,13
2475,14,184,Cooper,2,Leeds,Leeds,2,44,12
2592,14,138,Mount,3,Chelsea,Chelsea,8,75,12
2978,14,370,Reguilón,2,Spurs,Spurs,6,52,12
