,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2384,31,406,Rice,2,19,West Ham,21,44,1
2386,31,225,Gray,3,11,Leicester,13,54,1
2390,31,543,Origi,4,12,Liverpool,14,50,1
2404,31,255,Fabinho,3,12,Liverpool,14,55,1
2411,31,314,Lejeune,2,15,Newcastle,4,44,1
2426,31,323,Hayden,3,15,Newcastle,4,43,1
2428,31,409,Diop,2,19,West Ham,21,42,1
2491,31,400,Fabianski,1,19,West Ham,21,47,1
2501,31,309,Dubravka,1,15,Newcastle,4,50,1
2512,31,415,Antonio,3,19,West Ham,21,68,1
2556,31,184,Sessegnon,3,9,Fulham,54,60,1
2575,31,211,Mounie,4,10,Huddersfield,38,58,1
2334,31,118,Rüdiger,2,6,Chelsea,8,59,0
