,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1184,22,388,Alli,3,17,Spurs,6,90,2
1190,22,381,Davies,2,17,Spurs,6,58,2
1191,22,421,Foster,1,19,West Brom,35,43,2
1196,22,486,Watson,3,18,Watford,57,43,2
1215,22,338,Adam,3,15,Stoke,110,47,2
1220,22,451,Kouyaté,3,20,West Ham,21,50,2
1221,22,451,Kouyaté,3,20,West Ham,21,50,2
1225,22,387,Eriksen,3,17,Spurs,6,97,2
1248,22,63,Stephens,3,3,Brighton,36,45,2
1275,22,520,Sánchez,2,17,Spurs,6,60,2
1294,22,318,Tadic,3,14,Southampton,20,62,2
1306,22,227,Can,3,10,Liverpool,14,49,2
1312,22,384,Dier,3,17,Spurs,6,47,2
1313,22,386,Lamela,3,17,Spurs,6,63,2
1344,22,232,Wijnaldum,3,10,Liverpool,14,66,2
1350,22,23,Xhaka,3,1,Arsenal,3,51,2
1359,22,394,Kane,4,17,Spurs,6,131,2
1370,22,375,Lloris,1,17,Spurs,6,55,2
1381,22,90,Cork,3,4,Burnley,90,45,2
1388,22,426,Livermore,3,19,West Brom,35,48,2
1399,22,117,Tomkins,2,6,Crystal Palace,31,44,2
1400,22,317,Ward-Prowse,3,14,Southampton,20,49,2
1405,22,380,Vertonghen,2,17,Spurs,6,61,2
1409,22,487,Chicharito,4,20,West Ham,21,67,2
1413,22,437,Rodriguez,4,19,West Brom,35,54,2
1416,22,86,Hendrick,3,4,Burnley,90,54,2
1445,22,373,Jordan Ayew,4,16,Swansea,80,54,2
1447,22,135,Pickford,1,7,Everton,11,49,2
1481,22,99,Zouma,2,15,Stoke,110,54,2
1485,22,379,Walker,2,11,Man City,43,66,2
1498,22,46,Lewis Cook,3,2,Bournemouth,91,43,2
1504,22,350,Fabianski,1,16,Swansea,80,47,2
1531,22,120,Kelly,2,6,Crystal Palace,31,41,2
1570,22,154,Schneiderlin,3,7,Everton,11,47,2
1578,22,111,Kanté,3,5,Chelsea,8,49,2
1586,22,366,Dyer,3,16,Swansea,80,44,2
