,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
678,469,41,Ceballos,3,1,Arsenal,3,52,3
806,620,41,Brownhill,3,5,Burnley,90,48,3
22,12,41,Lacazette,4,1,Arsenal,3,92,2
30,17,41,Iwobi,3,8,Everton,11,56,2
42,25,41,Hause,2,2,Aston Villa,7,44,2
46,27,41,Nyland,1,2,Aston Villa,7,43,2
54,29,41,Grealish,3,2,Aston Villa,7,59,2
66,34,41,Davis,3,2,Aston Villa,7,42,2
74,47,41,Ryan,1,4,Brighton,36,47,2
78,53,41,Bissouma,3,4,Brighton,36,50,2
82,68,41,King,4,3,Bournemouth,91,61,2
114,92,41,Vydra,4,5,Burnley,90,51,2
158,117,41,Barkley,3,6,Chelsea,8,56,2
162,119,41,Kanté,3,6,Chelsea,8,50,2
170,123,41,van Aanholt,2,7,Crystal Palace,31,56,2
174,126,41,Ward,2,7,Crystal Palace,31,43,2
178,127,41,Dann,2,7,Crystal Palace,31,43,2
186,133,41,Zaha,3,7,Crystal Palace,31,66,2
190,134,41,Milivojevic,3,7,Crystal Palace,31,67,2
194,138,41,McArthur,3,7,Crystal Palace,31,52,2
202,143,41,Keane,2,8,Everton,11,52,2
206,144,41,Coleman,2,8,Everton,11,53,2
210,147,41,Calvert-Lewin,4,8,Everton,11,61,2
242,166,41,Vardy,4,9,Leicester,13,97,2
286,191,41,Salah,3,10,Liverpool,14,125,2
290,192,41,Mané,3,10,Liverpool,14,121,2
298,197,41,Fabinho,3,10,Liverpool,14,54,2
374,233,41,Rashford,4,12,Man Utd,1,89,2
402,254,41,Fernández,2,13,Newcastle,4,46,2
410,258,41,Lascelles,2,13,Newcastle,4,42,2
