,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
335,174,29,Benalouane,2,8,Leicester,13,40,1
350,179,29,Drinkwater,3,8,Leicester,13,53,1
385,199,29,Matip,2,9,Liverpool,14,54,1
390,200,29,Lucas,3,9,Liverpool,14,44,1
425,217,29,Origi,4,9,Liverpool,14,60,1
440,223,29,Clichy,2,10,Man City,43,52,1
460,230,29,Silva,3,10,Man City,43,86,1
465,231,29,Yaya Touré,3,10,Man City,43,72,1
500,248,29,Rojo,2,11,Man Utd,1,52,1
510,251,29,Darmian,2,11,Man Utd,1,50,1
570,278,29,Gibson,2,12,Middlesbrough,25,49,1
575,280,29,Bernardo,2,12,Middlesbrough,25,42,1
585,283,29,Clayton,3,12,Middlesbrough,25,43,1
605,297,29,Fonte,2,20,West Ham,21,53,1
610,298,29,Yoshida,2,13,Southampton,20,45,1
615,301,29,Cédric,2,13,Southampton,20,49,1
620,304,29,Redmond,3,13,Southampton,20,59,1
680,352,29,Khazri,3,15,Sunderland,56,60,1
685,354,29,Borini,4,15,Sunderland,56,51,1
710,363,29,Fernández,2,16,Swansea,80,42,1
715,367,29,Cork,3,16,Swansea,80,46,1
725,369,29,Routledge,3,16,Swansea,80,45,1
750,384,29,Walker,2,17,Spurs,6,62,1
765,387,29,Trippier,2,17,Spurs,6,47,1
770,390,29,Dier,3,17,Spurs,6,50,1
810,405,29,Janssen,4,17,Spurs,6,75,1
825,409,29,Prödl,2,18,Watford,57,43,1
850,422,29,Amrabat,3,18,Watford,57,50,1
895,451,29,Randolph,1,20,West Ham,21,44,1
905,457,29,Byram,2,20,West Ham,21,42,1
935,477,29,Barragán,2,12,Middlesbrough,25,43,1
945,482,29,Doucouré,3,18,Watford,57,46,1
965,504,29,Stephens,2,13,Southampton,20,42,1
970,505,29,Masuaku,2,20,West Ham,21,47,1
995,555,29,Mustafi,2,1,Arsenal,3,58,1
1020,563,29,Traoré,3,12,Middlesbrough,25,48,1
1025,567,29,Slimani,4,8,Leicester,13,82,1
1080,640,29,Brady,3,3,Burnley,90,55,1
1085,642,29,Ayew,4,16,Swansea,80,50,1
1095,647,29,Grosicki,3,7,Hull,88,55,1
0,5,29,Gabriel,2,1,Arsenal,3,48,0
25,14,29,Özil,3,1,Arsenal,3,95,0
75,37,29,Arter,3,2,Bournemouth,91,50,0
150,82,29,Hazard,3,4,Chelsea,8,105,0
155,83,29,Fàbregas,3,4,Chelsea,8,70,0
200,106,29,Kelly,2,5,Crystal Palace,31,42,0
240,131,29,Pennington,2,6,Everton,11,39,0
245,133,29,Mirallas,3,6,Everton,11,59,0
