,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
1202,30,385,Vertonghen,2,17,Spurs,6,58,7
1263,30,411,Holebas,2,18,Watford,57,46,7
1273,30,647,Grosicki,3,7,Hull,88,55,7
1287,30,358,Naughton,2,16,Swansea,80,44,7
1295,30,200,Lucas,3,9,Liverpool,14,44,7
1299,30,489,Sané,3,10,Man City,43,77,7
1355,30,131,Pennington,2,6,Everton,11,39,7
1362,30,298,Yoshida,2,13,Southampton,20,45,7
1487,30,239,Agüero,4,10,Man City,43,127,7
1517,30,13,Walcott,3,1,Arsenal,3,72,7
1523,30,382,Alderweireld,2,17,Spurs,6,64,7
962,30,468,Carroll,4,20,West Ham,21,59,6
967,30,477,Barragán,2,12,Middlesbrough,25,43,6
983,30,398,Alli,3,17,Spurs,6,91,6
988,30,386,Davies,2,17,Spurs,6,50,6
997,30,280,Bernardo,2,12,Middlesbrough,25,42,6
1024,30,33,Daniels,2,2,Bournemouth,91,52,6
1031,30,438,Brunt,2,19,West Brom,35,48,6
1044,30,433,Dawson,2,19,West Brom,35,49,6
1050,30,301,Cédric,2,13,Southampton,20,49,6
1072,30,242,de Gea,1,11,Man Utd,1,55,6
1121,30,363,Fernández,2,16,Swansea,80,42,6
1129,30,294,Forster,1,13,Southampton,20,50,6
1167,30,402,Son,3,17,Spurs,6,72,6
1275,30,165,Schmeichel,1,8,Leicester,13,49,6
1284,30,387,Trippier,2,17,Spurs,6,47,6
1308,30,356,Fabianski,1,16,Swansea,80,48,6
1344,30,633,Olsson,2,16,Swansea,80,41,6
1457,30,173,Huth,2,8,Leicester,13,49,6
1467,30,296,Bertrand,2,13,Southampton,20,56,6
1471,30,212,Mané,3,9,Liverpool,14,93,6
1496,30,31,Francis,2,2,Bournemouth,91,45,6
1560,30,174,Benalouane,2,8,Leicester,13,40,6
948,30,558,Mawson,2,16,Swansea,80,46,5
950,30,412,Nyom,2,19,West Brom,35,44,5
1029,30,168,Fuchs,2,8,Leicester,13,53,5
1079,30,230,Silva,3,10,Man City,43,86,5
1092,30,217,Origi,4,9,Liverpool,14,60,5
1100,30,82,Hazard,3,4,Chelsea,8,105,5
1245,30,340,Pickford,1,15,Sunderland,56,42,5
1278,30,235,De Bruyne,3,10,Man City,43,105,5
