,element,GW,web_name,element_type,team,team_name,team_code,now_cost,total_points
581,388,15,Kane,4,Spurs,Spurs,6,119,2
589,391,15,Dier,2,Spurs,Spurs,6,46,2
617,448,15,Rice,3,West Ham,West Ham,21,47,2
629,454,15,Moutinho,3,Wolves,Wolves,39,51,2
639,465,15,Traoré,3,Wolves,Wolves,39,60,2
644,466,15,Neves,3,Wolves,Wolves,39,51,2
654,483,15,Ramsdale,1,Sheffield Utd,Sheffield Utd,49,46,2
684,504,15,Fabio Silva,4,Wolves,Wolves,39,52,2
694,509,15,Ampadu,2,Sheffield Utd,Sheffield Utd,49,43,2
723,548,15,Mendy,1,Chelsea,Chelsea,8,53,2
770,588,15,Welbeck,4,Brighton,Brighton,36,55,2
21,10,15,Marí,2,Arsenal,Arsenal,3,44,1
50,18,15,Pépé,3,Arsenal,Arsenal,3,77,1
109,81,15,Tarkowski,2,Burnley,Burnley,90,53,1
117,87,15,Barnes,4,Burnley,Burnley,90,60,1
157,110,15,Zouma,2,Chelsea,Chelsea,8,53,1
161,117,15,Werner,4,Chelsea,Chelsea,8,92,1
211,137,15,Townsend,3,Crystal Palace,Crystal Palace,31,55,1
216,138,15,Milivojevic,3,Crystal Palace,Crystal Palace,31,56,1
221,141,15,Zaha,3,Crystal Palace,Crystal Palace,31,71,1
307,217,15,Schmeichel,1,Leicester,Leicester,13,54,1
311,219,15,Evans,2,Leicester,Leicester,13,56,1
331,232,15,Chilwell,2,Chelsea,Chelsea,8,59,1
339,239,15,Justin,2,Leicester,Leicester,13,48,1
423,284,15,Foden,3,Man City,Man City,43,61,1
435,291,15,de Gea,1,Man Utd,Man Utd,1,53,1
440,296,15,Pogba,3,Man Utd,Man Utd,1,76,1
445,298,15,Maguire,2,Man Utd,Man Utd,1,55,1
480,310,15,Bailly,2,Man Utd,Man Utd,1,48,1
485,311,15,James,3,Man Utd,Man Utd,1,62,1
495,320,15,Carroll,4,Newcastle,Newcastle,4,51,1
500,323,15,Fernández,2,Newcastle,Newcastle,4,47,1
505,324,15,Clark,2,Newcastle,Newcastle,4,45,1
520,335,15,Yedlin,2,Newcastle,Newcastle,4,43,1
605,431,15,Fabianski,1,West Ham,West Ham,21,50,1
609,432,15,Ogbonna,2,West Ham,West Ham,21,47,1
662,489,15,Eze,3,Crystal Palace,Crystal Palace,31,58,1
671,492,15,Rodrigo,4,Leeds,Leeds,2,57,1
734,558,15,Coufal,2,West Ham,West Ham,21,48,1
738,561,15,Fofana,2,Leicester,Leicester,13,50,1
745,563,15,Ait Nouri,2,Wolves,Wolves,39,50,1
775,597,15,Sánchez,1,Brighton,Brighton,36,45,1
1,4,15,Aubameyang,3,Arsenal,Arsenal,3,113,0
35,15,15,Maitland-Niles,2,Arsenal,West Brom,35,46,0
133,95,15,Brady,3,Burnley,Burnley,90,50,0
149,102,15,Azpilicueta,2,Chelsea,Chelsea,8,58,0
153,103,15,Giroud,4,Chelsea,Chelsea,8,67,0
186,129,15,Tomkins,2,Crystal Palace,Crystal Palace,31,44,0
206,134,15,Ward,2,Crystal Palace,Crystal Palace,31,43,0
231,146,15,Mitchell,2,Crystal Palace,Crystal Palace,31,38,0
379,258,15,Minamino,3,Liverpool,Southampton,20,60,0
387,270,15,Walker,2,Man City,Man City,43,61,0
419,283,15,Zinchenko,2,Man City,Man City,43,55,0
427,286,15,Rodrigo,3,Man City,Man City,43,53,0
490,313,15,Wan-Bissaka,2,Man Utd,Man Utd,1,58,0
515,334,15,Schär,2,Newcastle,Newcastle,4,48,0
553,366,15,Ings,4,Southampton,Southampton,20,84,0
577,386,15,Alderweireld,2,Spurs,Spurs,6,54,0
625,450,15,Fornals,3,West Ham,West Ham,21,58,0
667,490,15,Thiago Silva,2,Chelsea,Chelsea,8,56,0
679,501,15,Ceballos,3,Arsenal,Arsenal,3,47,0
689,506,15,Wilson,4,Newcastle,Newcastle,4,65,0
699,510,15,Bogle,2,Sheffield Utd,Sheffield Utd,49,43,0
766,576,15,Dawson,2,West Ham,West Ham,21,45,0
122,88,16,Mee,2,Burnley,Burnley,90,47,15
280,200,16,Dallas,2,Leeds,Leeds,2,55,12
284,201,16,Alioski,2,Leeds,Leeds,2,44,12
436,291,16,de Gea,1,Man Utd,Man Utd,1,53,10
41,16,16,Holding,2,Arsenal,Arsenal,3,43,9
182,128,16,Guaita,1,Crystal Palace,Crystal Palace,31,48,9
376,255,16,Robertson,2,Liverpool,Liverpool,14,73,9
481,310,16,Bailly,2,Man Utd,Man Utd,1,48,9
501,323,16,Fernández,2,Newcastle,Newcastle,4,47,9
550,363,16,McCarthy,1,Southampton,Southampton,20,44,9
558,367,16,Stephens,2,Southampton,Southampton,20,46,9
110,81,16,Tarkowski,2,Burnley,Burnley,90,53,8
114,83,16,Pieters,2,Burnley,Burnley,90,43,8
154,103,16,Giroud,4,Chelsea,Chelsea,8,67,8
288,202,16,Bamford,4,Leeds,Leeds,2,66,8
292,203,16,Harrison,3,Leeds,Leeds,2,56,8
312,219,16,Evans,2,Leicester,Leicester,13,56,8
336,235,16,Barnes,3,Leicester,Leicester,13,66,8
511,325,16,Darlow,1,Newcastle,Newcastle,4,49,8
606,431,16,Fabianski,1,West Ham,West Ham,21,50,8
672,492,16,Rodrigo,4,Leeds,Leeds,2,57,8
760,570,16,Raphinha,3,Leeds,Leeds,2,56,8
7,6,16,Lacazette,4,Arsenal,Arsenal,3,84,7
22,10,16,Marí,2,Arsenal,Arsenal,3,44,7
82,45,16,El Ghazi,3,Aston Villa,Aston Villa,7,52,7
222,141,16,Zaha,3,Crystal Palace,Crystal Palace,31,71,7
446,298,16,Maguire,2,Man Utd,Man Utd,1,55,7
466,306,16,Rashford,3,Man Utd,Man Utd,1,96,7
570,376,16,Bednarek,2,Southampton,Southampton,20,47,7
676,496,16,Cash,2,Aston Villa,Aston Villa,7,50,7
12,8,16,Leno,1,Arsenal,Arsenal,3,50,6
27,11,16,Bellerín,2,Arsenal,Arsenal,3,50,6
46,17,16,Tierney,2,Arsenal,Arsenal,3,52,6
61,24,16,Saka,3,Arsenal,Arsenal,3,51,6
134,95,16,Brady,3,Burnley,Burnley,90,50,6
138,96,16,Pope,1,Burnley,Burnley,90,55,6
272,197,16,Ayling,2,Leeds,Leeds,2,44,6
300,211,16,Struijk,2,Leeds,Leeds,2,40,6
304,213,16,Meslier,1,Leeds,Leeds,2,48,6
364,252,16,Alisson,1,Liverpool,Liverpool,14,60,6
384,259,16,Alexander-Arnold,2,Liverpool,Liverpool,14,78,6
456,302,16,Fernandes,3,Man Utd,Man Utd,1,113,6
491,313,16,Wan-Bissaka,2,Man Utd,Man Utd,1,58,6
516,334,16,Schär,2,Newcastle,Newcastle,4,48,6
521,335,16,Yedlin,2,Newcastle,Newcastle,4,43,6
610,432,16,Ogbonna,2,West Ham,West Ham,21,47,6
614,435,16,Cresswell,2,West Ham,West Ham,21,57,6
767,576,16,Dawson,2,West Ham,West Ham,21,45,6
130,92,16,Lowton,2,Burnley,Burnley,90,44,5
212,137,16,Townsend,3,Crystal Palace,Crystal Palace,31,55,5
332,232,16,Chilwell,2,Chelsea,Chelsea,8,59,5
506,324,16,Clark,2,Newcastle,Newcastle,4,45,5
546,362,16,Bertrand,2,Southampton,Southampton,20,50,5
566,375,16,Walker-Peters,2,Southampton,Southampton,20,47,5
276,198,16,Klich,3,Leeds,Leeds,2,52,4
2,4,16,Aubameyang,3,Arsenal,Arsenal,3,113,3
17,9,16,Xhaka,3,Arsenal,Arsenal,3,52,3
32,12,16,Martínez,1,Aston Villa,Aston Villa,7,53,3
56,23,16,Smith Rowe,3,Arsenal,Arsenal,3,42,3
146,98,16,Brownhill,3,Burnley,Burnley,90,49,3
237,148,16,Walcott,3,Southampton,Southampton,20,58,3
296,204,16,Phillips,3,Leeds,Leeds,2,49,3
348,244,16,Henderson,3,Liverpool,Liverpool,14,54,3
360,251,16,Mané,3,Liverpool,Liverpool,14,118,3
372,254,16,Salah,3,Liverpool,Liverpool,14,129,3
441,296,16,Pogba,3,Man Utd,Man Utd,1,76,3
562,370,16,Ward-Prowse,3,Southampton,Southampton,20,59,3
618,448,16,Rice,3,West Ham,West Ham,21,47,3
622,449,16,Soucek,3,West Ham,West Ham,21,52,3
626,450,16,Fornals,3,West Ham,West Ham,21,58,3
650,474,16,Neto,3,Wolves,Wolves,39,55,3
66,37,16,Grealish,3,Aston Villa,Aston Villa,7,75,2
70,38,16,McGinn,3,Aston Villa,Aston Villa,7,55,2
74,39,16,Hause,2,Aston Villa,Aston Villa,7,44,2
78,42,16,Targett,2,Aston Villa,Aston Villa,7,50,2
86,52,16,Douglas Luiz,3,Aston Villa,Aston Villa,7,48,2
118,87,16,Barnes,4,Burnley,Burnley,90,60,2
